LONGITUDE	LATITUDE	LABEL	ELEVATION	KML_FOLDER	open
"64ø 14' 44.2872"" W"	"31ø 29' 2.9092"" S"	L30 (PP) Barrio Parque Futura		L30 Ida	
"64ø 14' 44.4188"" W"	"31ø 29' 2.8570"" S"	Barlovento y Pinar del Rio		L30 Ida	
"64ø 14' 50.3441"" W"	"31ø 29' 8.7403"" S"	Pinar del Rio y Bonaire		L30 Ida	
"64ø 14' 55.4825"" W"	"31ø 29' 5.3155"" S"	Bonaire al 1900		L30 Ida	
"64ø 14' 57.5615"" W"	"31ø 28' 59.5157"" S"	Masaya y Guanasacate		L30 Ida	
"64ø 14' 57.4008"" W"	"31ø 28' 53.8323"" S"	Masaya y Usuahia		L30 Ida	
"64ø 14' 54.5267"" W"	"31ø 28' 51.3187"" S"	Av Curazao al 3100		L30 Ida	
"64ø 14' 48.6648"" W"	"31ø 28' 45.9929"" S"	Av.Curazao al 2900		L30 Ida	
"64ø 14' 40.2865"" W"	"31ø 28' 39.6531"" S"	Av Curazao al 2700		L30 Ida	
"64ø 14' 33.3151"" W"	"31ø 28' 33.5448"" S"	Av Curazao al 2500		L30 Ida	
"64ø 14' 26.6883"" W"	"31ø 28' 27.9796"" S"	Av. Curazao al 2400		L30 Ida	
"64ø 14' 13.3405"" W"	"31ø 28' 22.1148"" S"	Av. Renault al 2200		L30 Ida	
"64ø 14' 3.5903"" W"	"31ø 28' 15.7488"" S"	Av Casado al 2100		L30 Ida	
"64ø 13' 57.5212"" W"	"31ø 28' 11.2822"" S"	Av Casado al 2000		L30 Ida	
"64ø 13' 52.3576"" W"	"31ø 28' 6.5874"" S"	Av Casado al 1800		L30 Ida	
"64ø 13' 43.0453"" W"	"31ø 27' 58.7901"" S"	Av Casado al 1700		L30 Ida	
"64ø 13' 35.3108"" W"	"31ø 27' 53.0952"" S"	Av Casado al 1600		L30 Ida	
"64ø 13' 29.7045"" W"	"31ø 27' 56.5600"" S"	Lago Argentino al 1900		L30 Ida	
"64ø 13' 23.7164"" W"	"31ø 27' 58.7848"" S"	Av. Armada Argentina al 1500 (refugio)		L30 Ida	
"64ø 12' 58.5531"" W"	"31ø 27' 37.6823"" S"	Av. Armada Argentina Canal de Los Olmos(refugio)		L30 Ida	
"64ø 12' 42.5494"" W"	"31ø 27' 29.9381"" S"	Av. Armada Argentina al 800		L30 Ida	
"64ø 12' 30.7497"" W"	"31ø 27' 23.1267"" S"	Av Armada Argentina al 500		L30 Ida	
"64ø 12' 16.1827"" W"	"31ø 27' 9.3138"" S"	Av Armada Argentina al 200		L30 Ida	
"64ø 12' 5.1998"" W"	"31ø 27' 3.6102"" S"	Av. Armada Argentina al 70		L30 Ida	
"64ø 11' 58.5807"" W"	"31ø 26' 59.1882"" S"	Av V‚lez Sarsfield al 3400		L30 Ida	
"64ø 11' 56.3074"" W"	"31ø 26' 52.5377"" S"	Av V‚lez Sarsfield al 3200		L30 Ida	
"64ø 11' 53.4701"" W"	"31ø 26' 43.6343"" S"	Av V‚lez Sarsfield al 3000		L30 Ida	
"64ø 11' 47.2500"" W"	"31ø 26' 24.6810"" S"	Av. Velez Sarsfield al 2400		L30 Ida	
"64ø 11' 41.5180"" W"	"31ø 26' 7.2376"" S"	Av. Velez Sarsfield al 1900		L30 Ida	
"64ø 11' 37.2756"" W"	"31ø 25' 57.0611"" S"	Plaza de las Americas		L30 Ida	
"64ø 11' 41.9632"" W"	"31ø 25' 52.9145"" S"	Gral. Manuel Belgrano al 1400		L30 Ida	
"64ø 11' 39.5072"" W"	"31ø 25' 46.9565"" S"	Gral. Manuel Belgrano al 1275		L30 Ida	
"64ø 11' 35.0750"" W"	"31ø 25' 36.4497"" S"	Gral. Manuel Belgrano al 1000		L30 Ida	
"64ø 11' 31.9071"" W"	"31ø 25' 28.0330"" S"	Gral. Manuel Belgrano al 800		L30 Ida	
"64ø 11' 24.7151"" W"	"31ø 25' 16.4639"" S"	Gral. Manuel Belgrano al 400		L30 Ida	
"64ø 11' 18.6343"" W"	"31ø 24' 57.7763"" S"	Gral. Manuel Belgrano y San Jeronimo		L30 Ida	
"64ø 11' 15.4472"" W"	"31ø 24' 50.0744"" S"	Gral. Manuel Belgrano y 9 de Julio		L30 Ida	1
"64ø 11' 9.9065"" W"	"31ø 24' 37.3385"" S"	Gral. Belgrano y La Rioja		L30 Ida	
"64ø 11' 17.3978"" W"	"31ø 24' 26.7564"" S"	Jujuy al 500		L30 Ida	
"64ø 11' 15.3426"" W"	"31ø 24' 17.7330"" S"	Gral. avalleja al 900		L30 Ida	
"64ø 11' 11.7568"" W"	"31ø 24' 5.2606"" S"	Gral. Lavalleja al 1200		L30 Ida	
"64ø 11' 7.7754"" W"	"31ø 23' 54.5863"" S"	Gral. Lavalleja al 1400		L30 Ida	
"64ø 11' 14.9572"" W"	"31ø 23' 51.2534"" S"	Bedoya y Urquiza		L30 Ida	
"64ø 11' 12.1706"" W"	"31ø 23' 39.9173"" S"	Urquiza al 1700		L30 Ida	
"64ø 11' 8.6037"" W"	"31ø 23' 32.0337"" S"	Urquiza al 1900		L30 Ida	1
"64ø 11' 2.0442"" W"	"31ø 23' 33.3964"" S"	Jos‚ Baigorri al 600		L30 Ida	
"64ø 10' 57.4560"" W"	"31ø 23' 30.2743"" S"	Gral. Lavalleja al 2100		L30 Ida	
"64ø 10' 56.3893"" W"	"31ø 23' 20.1346"" S"	Gral. Lavalleja al 2200		L30 Ida	
"64ø 10' 56.7696"" W"	"31ø 23' 15.9420"" S"	Gral.Lavalleja al 2300		L30 Ida	
"64ø 10' 56.7353"" W"	"31ø 23' 7.2184"" S"	Gral. Lavalleja al 2600		L30 Ida	
"64ø 10' 56.7016"" W"	"31ø 22' 58.6702"" S"	Gral. Lavalleja al 2700		L30 Ida	
"64ø 10' 56.2911"" W"	"31ø 22' 47.8998"" S"	Gral. Lavalleja al 3000		L30 Ida	
"64ø 10' 56.5643"" W"	"31ø 22' 38.6536"" S"	Gral. Lavalleja al 3300		L30 Ida	
"64ø 10' 56.4411"" W"	"31ø 22' 26.6877"" S"	Gral. Lavalleja al 3600		L30 Ida	
"64ø 11' 0.3352"" W"	"31ø 22' 20.5201"" S"	Unquillo y Fragueiro		L30 Ida	
"64ø 11' 1.7514"" W"	"31ø 22' 12.5079"" S"	Mariano Fragueiro al 3500		L30 Ida	
"64ø 11' 1.7575"" W"	"31ø 22' 1.7853"" S"	Mariano Fragueiro al 3700		L30 Ida	
"64ø 11' 1.7610"" W"	"31ø 21' 55.7378"" S"	Mariano Fragueiro al 4000		L30 Ida	
"64ø 11' 1.7646"" W"	"31ø 21' 49.6312"" S"	Mariano Fragueiro al 4200		L30 Ida	
"64ø 11' 2.7938"" W"	"31ø 21' 43.1478"" S"	Sabino Donell		L30 Ida	
"64ø 11' 1.6302"" W"	"31ø 21' 44.1973"" S"	L30 Barrio Geronimo Luis de Cabrera		L30 Regreso	1
"64ø 11' 2.1015"" W"	"31ø 21' 53.5827"" S"	Mariano Fragueiro al 4500		L30 Regreso	
"64ø 11' 2.2757"" W"	"31ø 22' 1.4227"" S"	Mariano Fragueiro al 4000		L30 Regreso	
"64ø 11' 2.2717"" W"	"31ø 22' 17.7477"" S"	Mariano Fragueiro al 3600		L30 Regreso	
"64ø 11' 2.2606"" W"	"31ø 22' 27.3557"" S"	Mariano Fragueiro al 3400		L30 Regreso	
"64ø 11' 2.1129"" W"	"31ø 22' 33.2833"" S"	Mariano Fragueiro al 3300		L30 Regreso	
"64ø 11' 1.9893"" W"	"31ø 22' 40.2174"" S"	Mariano Fragueiro al 3200		L30 Regreso	
"64ø 11' 1.8519"" W"	"31ø 22' 59.4586"" S"	Mariano Fragueiro al 2700		L30 Regreso	
"64ø 11' 2.1182"" W"	"31ø 23' 5.7773"" S"	Mariano Fragueiro al 2600		L30 Regreso	
"64ø 11' 1.9322"" W"	"31ø 23' 11.5347"" S"	Mariano Fragueiro al 2400		L30 Regreso	
"64ø 11' 1.7838"" W"	"31ø 23' 22.7542"" S"	Mariano Fragueiro al 2200		L30 Regreso	1
"64ø 11' 5.2380"" W"	"31ø 23' 35.1779"" S"	Mariano Fragueiro al 1900		L30 Regreso	
"64ø 11' 8.9309"" W"	"31ø 23' 43.6616"" S"	Mariano Fragueiro al 1700		L30 Regreso	1
"64ø 11' 12.1265"" W"	"31ø 23' 51.6713"" S"	Mariano Fragueiro al 1500		L30 Regreso	1
"64ø 11' 14.0398"" W"	"31ø 23' 55.8800"" S"	Mariano Fragueiro al 1400		L30 Regreso	1
"64ø 11' 15.3114"" W"	"31ø 23' 59.6446"" S"	Mariano Fragueiro al 1300		L30 Regreso	1
"64ø 11' 14.5690"" W"	"31ø 24' 5.5260"" S"	Gral. Bustos al 600		L30 Regreso	
"64ø 11' 6.8252"" W"	"31ø 24' 7.9307"" S"	Gral. Bustos al 400		L30 Regreso	
"64ø 10' 58.2128"" W"	"31ø 24' 17.8414"" S"	Roque Sanez Pe¤a  Parque Las Heras(refugio)		L30 Regreso	
"64ø 11' 3.2758"" W"	"31ø 24' 32.7810"" S"	Av. Gral Paz y Humberto Primo		L30 Regreso	
"64ø 11' 7.6630"" W"	"31ø 24' 43.1542"" S"	A. Gral. Paz al 500 (Correo Central)		L30 Regreso	
"64ø 11' 14.5607"" W"	"31ø 24' 59.7894"" S"	Av V‚lez Sarsfield al 100		L30 Regreso	
"64ø 11' 20.8446"" W"	"31ø 25' 14.6811"" S"	Av V‚lez Sarsfield al 400		L30 Regreso	
"64ø 11' 24.4340"" W"	"31ø 25' 23.1651"" S"	Av V‚lez Sarsfield al 600		L30 Regreso	
"64ø 11' 32.8009"" W"	"31ø 25' 42.9854"" S"	Av V‚lez Sarsfield al 980		L30 Regreso	
"64ø 11' 38.3058"" W"	"31ø 25' 55.9066"" S"	Av V‚lez Sarsfield al 1170		L30 Regreso	
"64ø 11' 44.3655"" W"	"31ø 26' 12.1520"" S"	Av V‚lez Sarsfield al 1460		L30 Regreso	
"64ø 11' 47.4063"" W"	"31ø 26' 21.7032"" S"	Av V‚lez Sarsfield al 1900		L30 Regreso	
"64ø 11' 56.1012"" W"	"31ø 26' 48.7689"" S"	Av V‚lez Sarsfield al 2350		L30 Regreso	
"64ø 11' 58.2157"" W"	"31ø 26' 54.8112"" S"	Av V‚lez Sarsfield al 3100		L30 Regreso	
"64ø 12' 2.9696"" W"	"31ø 27' 1.8696"" S"	Av Armada Argentina al 46		L30 Regreso	
"64ø 12' 10.8358"" W"	"31ø 27' 4.4794"" S"	Av Armada Argentina al 180		L30 Regreso	
"64ø 12' 27.3016"" W"	"31ø 27' 16.2819"" S"	Av Armada Argentina al 400		L30 Regreso	
"64ø 12' 31.7579"" W"	"31ø 27' 22.9231"" S"	Av. Armada  Argentina al 500		L30 Regreso	
"64ø 12' 41.7974"" W"	"31ø 27' 28.8873"" S"	Av Armada Argentina al 700		L30 Regreso	
"64ø 12' 52.2087"" W"	"31ø 27' 32.4778"" S"	Av Armada Argentina al 900		L30 Regreso	
"64ø 13' 5.9585"" W"	"31ø 27' 41.2375"" S"	Av Armada Argentina al 1100		L30 Regreso	
"64ø 13' 20.6482"" W"	"31ø 27' 54.1843"" S"	Av Armada Argentina al 1600		L30 Regreso	1
"64ø 13' 27.6273"" W"	"31ø 27' 57.5253"" S"	Lago Argentino al 1800		L30 Regreso	
"64ø 13' 33.6755"" W"	"31ø 27' 52.2033"" S"	Lago Argentino al  2100		L30 Regreso	
"64ø 13' 41.7240"" W"	"31ø 27' 57.5121"" S"	Av Casado al 1700		L30 Regreso	
"64ø 13' 46.0499"" W"	"31ø 28' 1.0560"" S"	Av Casado al 1800		L30 Regreso	
"64ø 13' 52.9439"" W"	"31ø 28' 6.7037"" S"	Av Casado al 2000		L30 Regreso	
"64ø 14' 0.7520"" W"	"31ø 28' 13.0862"" S"	Av Casado al 2200		L30 Regreso	
"64ø 14' 13.9194"" W"	"31ø 28' 21.4665"" S"	Av. Renault al 2200		L30 Regreso	
"64ø 14' 30.0386"" W"	"31ø 28' 30.4210"" S"	Av Curazao al 2500		L30 Regreso	
"64ø 14' 38.9809"" W"	"31ø 28' 37.7465"" S"	Av Curazao al 2700		L30 Regreso	
"64ø 14' 47.0342"" W"	"31ø 28' 44.3438"" S"	Av Curazao al 3000		L30 Regreso	
"64ø 14' 57.4551"" W"	"31ø 28' 53.0842"" S"	Av Curazao al 3400		L30 Regreso	1
"64ø 14' 57.5615"" W"	"31ø 28' 59.5157"" S"	Masaya y Guanasacate		L30 Regreso	
"64ø 14' 52.9751"" W"	"31ø 28' 59.4768"" S"	Guanasacate 2900		L30 Regreso	
