"stop_id","stop_calle","stop_esquina","stop_lon","stop_lat","coord"
7000,"CALLE PUBLICA 3 N° 6552","ESQ. RIO YUSPE",-64.2682864759,-31.4037679148,"-64.26824207762465,-31.40380174663422,0"
7001,"DR. JOSE CEBALLOS 591","ESQ. JOSE CORTEZ FUNES",-64.2691263554,-31.4066575789,"-64.26909452451899,-31.40687606402255,0"
7002,"DR. JOSE CEBALLOS 750","ESQ. CLETO AGUIRRE",-64.2690015328,-31.4089471842,"-64.26910897264291,-31.40901571402737,0"
7003,"CLETO AGUIRRE 6300","ESQ. ASIA",-64.2662584549,-31.4091477741,"-64.26627011903112,-31.40929899569834,0"
7004,"CLETO AGUIRRE 6031","ESQ. ALTO ALEGRE",-64.2639621975,-31.409225233,"-64.26407828620084,-31.40931831195504,0"
7005,"ALTO ALEGRE 650","ESQ. JOSE CORTEZ FUNES",-64.2634619727,-31.4070308496,"-64.26383934184169,-31.40709160938683,0"
7006,"LUZ VIEYRA MENDEZ 661",,-64.2645037945,-31.4065401962,"-64.26485127446209,-31.40659782409476,0"
7007,"LUZ VIEYRA MENDEZ 500","ESQ. CBO. 1° MARCIANO VERON",-64.2646782765,-31.4042903231,"-64.26487152662784,-31.40442244332611,0"
7008,"DOCENTES ARGENTINOS 6172","ESQ. LUZ VIEYRA MENDEZ",-64.2648702206,-31.4020178223,"-64.26505257781682,-31.40213383298375,0"
7009,"DOCENTES ARGENTINOS 6408","ESQ. PERALTA Y TEJEDA",-64.2665817108,-31.401628303,"-64.26661093565197,-31.40183232114041,0"
7010,"JUANA MANSO 6600","ESQ. REVOLUCION LIBERTADORA",-64.2679406323,-31.4004358841,"-64.26796298189146,-31.40063581965067,0"
7011,"AV. COLON 6300","ROTONDA EL TROPEZON",-64.2657371197,-31.394976951,"-64.26596600685828,-31.39528018693958,0"
7012,"AV. DON BOSCO 6077","ESQ. FRANCISCO DE PAULA RIVERO",-64.2617960061,-31.3969294691,"-64.26169560838046,-31.39708294622534,0"
7013,"AV. DON BOSCO 5800","ESQ. PASCO",-64.2597713062,-31.3979561537,"-64.25974697031725,-31.39801916836698,0"
7014,"AV. DON BOSCO 5600","ESQ. RIO BAMBA",-64.257857345,-31.3989067485,"-64.25772008677193,-31.39900633342447,0"
7015,"AV. DON BOSCO 5451","ESQ. MEMBRILLAR",-64.2554321685,-31.3999954333,"-64.25556921933008,-31.39999179832157,0"
7016,"AV. DON BOSCO 5301","ESQ. POTRERILLOS",-64.2539477912,-31.4005986508,"-64.25394657637575,-31.4007780574184,0"
7017,"AV. DON BOSCO 5153","COLEG. SAN BUENAVENTURA",-64.2514782091,-31.4018296378,"-64.25143828157778,-31.40197073989656,0"
7018,"AV. DON BOSCO 4987","ESQ. QUIJANNO DE VELAZCO",-64.2486728077,-31.403103377,"-64.24865518118335,-31.40327685824836,0"
7019,"AV. DON BOSCO 4849","ESQ. JEAN SONNET",-64.2474683595,-31.4038055112,"-64.24752228351572,-31.40384548119402,0"
7020,"AV. DON BOSCO 4771","ESQ. SAUCE GRANDE",-64.2459092427,-31.4045989051,"-64.24591524529251,-31.40459635180936,0"
7021,"AV. DON BOSCO 4675","EMPRESA CONIFERAL",-64.2441189057,-31.4054013651,"-64.24412302510093,-31.40544616210972,0"
7022,"AV. DON BOSCO 4467","PLAZA B° LAS PALMAS",-64.2423727796,-31.4060784219,"-64.2424162736955,-31.40613609866407,0"
7023,"AV. DON BOSCO 4337","ESQ. JUAN GARCIA MARTINEZ",-64.240018888,-31.406676173,"-64.24036306889515,-31.40666554653694,0"
7024,"AV. DON BOSCO 4230","ESQ. ALDO FACUNDO VERGARA",-64.2385363906,-31.4070948312,"-64.23877822766521,-31.40707158635713,0"
7025,"AV. DON BOSCO 4050","ESQ. CURUMALAN",-64.236676873,-31.4073946728,"-64.23685100952355,-31.40757416132686,0"
7026,"AV. DON BOSCO 3873","ESQ. JUAN FRANCISCO TERRADA",-64.2332060428,-31.407573757,"-64.23373062402393,-31.40790109997776,0"
7027,"AV. DON BOSCO 3795","ESQ. FRANCISCO ANTONIO CANDIO",-64.2313495163,-31.407466243,"-64.23213996768982,-31.40779392518105,0"
7028,"LUIS DE AZPEITIA 3609","ESQ. FELIX PAZ",-64.2294584285,-31.4075176272,"-64.22993220240767,-31.40785762006788,0"
7029,"LUIS DE AZPEITIA 3425","ESQ. JUANA AZURDUY",-64.2269575969,-31.40787483,"-64.22788637495819,-31.40813038895773,0"
7030,"CJAL. PEÑALOZA 373","ESQ. GUILLERMO REYNA",-64.2258228089,-31.4072661682,"-64.22600475577286,-31.40782612674094,0"
7031,"AV. DUARTE QUIROS 3173","ESQ. MAESTRO VIDAL",-64.2241965393,-31.4064161973,"-64.22446882423743,-31.40691403812641,0"
7032,"AV. DUARTE QUIROS 2921","ESQ. LEON PINELO",-64.2217216519,-31.407687945,"-64.22188829074017,-31.40775662057203,0"
