"trip_id","stop_id","stop_sequence"
"40.ida",7000,1
"40.ida",7001,2
"40.ida",7002,3
"40.ida",7003,4
"40.ida",7004,5
"40.ida",7005,6
"40.ida",7006,7
"40.ida",7007,8
"40.ida",7008,9
"40.ida",7009,10
"40.ida",7010,11
"40.ida",7011,12
"40.ida",7012,13
"40.ida",7013,14
"40.ida",7014,15
"40.ida",7015,16
"40.ida",7016,17
"40.ida",7017,18
"40.ida",7018,19
"40.ida",7019,20
"40.ida",7020,21
"40.ida",7021,22
"40.ida",7022,23
"40.ida",7023,24
"40.ida",7024,25
"40.ida",7025,26
"40.ida",7026,27
"40.ida",7027,28
"40.ida",7028,29
"40.ida",7029,30
"40.ida",7030,31
"40.ida",7031,32
"40.ida",7032,33
"40.ida",7033,34
"40.ida",7034,35
"40.ida",7035,36
"40.ida",7036,37
"40.ida",7037,38
"40.ida",7038,39
"40.ida",7039,40
"40.ida",7040,41
"40.ida",7041,42
"40.ida",7042,43
"40.ida",7043,44
"40.ida",7044,45
"40.ida",7045,46
"40.ida",7046,47
"40.ida",7047,48
"40.ida",7048,49
"40.ida",7049,50
"40.ida",7050,51
"40.ida",7051,52
"40.ida",7052,53
"40.ida",7053,54
"40.ida",7054,55
"40.ida",7055,56
"40.ida",7056,57
"40.ida",7057,58
"40.ida",7058,59
"40.ida",7059,60
"40.ida",7060,61
"40.ida",7061,62
"40.ida",7062,63
"40.ida",7063,64
"40.ida",7064,65
"40.ida",7065,66
"40.ida",7066,67
"40.ida",7067,68
"40.ida",7068,69
"40.ida",7069,70
"40.ida",7070,71
"40.ida",7071,72
"40.ida",7072,73
"40.ida",7073,74
"40.ida",7074,75
"40.ida",7075,76
"40.ida",7076,77
"600.ida",7177,1
"600.ida",7178,2
"600.ida",7179,3
"600.ida",7181,4
"600.ida",7182,5
"600.ida",7183,6
"600.ida",7184,7
"600.ida",7185,8
"600.ida",7186,9
"600.ida",7187,10
"600.ida",7188,11
"600.ida",7606,12
"600.ida",7607,13
"600.ida",7608,14
"600.ida",7821,15
"600.ida",7822,16
"600.ida",7823,17
"600.ida",7824,18
"600.ida",7825,19
"600.ida",7826,20
"600.ida",7827,21
"600.ida",7846,22
"600.ida",7847,23
"600.ida",7848,24
"600.ida",7860,25
"600.ida",7861,26
"600.ida",7862,27
"600.ida",7863,28
"600.ida",7864,29
"600.ida",7865,30
"600.ida",7866,31
"600.ida",7867,32
"600.ida",7868,33
"600.ida",7869,34
"600.ida",7870,35
"600.ida",7871,36
"600.ida",7872,37
"600.ida",7931,38
"600.ida",7932,39
"600.ida",7933,40
"600.ida",7934,41
"600.ida",7935,42
"600.ida",7936,43
"600.ida",7937,44
"600.ida",7938,45
"600.ida",7939,46
"600.ida",7940,47
"600.ida",7941,48
"600.ida",7942,49
"600.ida",7943,50
"600.ida",7944,51
"600.ida",7945,52
"600.ida",7946,53
"600.ida",8004,54
"600.ida",8007,55
"600.ida",8008,56
"600.ida",8009,57
"600.ida",8010,58
"600.ida",8011,59
"600.ida",8012,60
"600.ida",8013,61
"600.ida",8014,62
"600.ida",8015,63
"600.ida",8016,64
"600.ida",8017,65
"600.ida",8018,66
"600.ida",8019,67
"600.ida",8020,68
"600.ida",8021,69
"600.ida",8022,70
"600.ida",8023,71
"600.ida",8024,72
"600.ida",8025,73
"600.ida",8026,74
"600.ida",8027,75
"600.ida",8028,76
"600.ida",8029,77
"600.ida",8030,78
"600.ida",8031,79
"600.ida",8032,80
"600.ida",8033,81
"600.ida",8034,82
"600.ida",8035,83
"600.ida",8036,84
"600.ida",8037,85
"600.ida",8038,86
"600.ida",8039,87
"600.ida",8040,88
"600.ida",8041,89
"600.ida",8042,90
"600.ida",8043,91
"600.ida",8044,92
"600.ida",8045,93
"600.ida",8046,94
"600.ida",8047,95
"600.ida",8048,96
"600.ida",8049,97
"600.ida",8050,98
"600.ida",8051,99
"600.ida",8052,100
"600.ida",8053,101
"600.ida",8054,102
"600.ida",8055,103
"600.ida",8056,104
"600.ida",8057,105
"600.ida",8058,106
"600.ida",8059,107
"600.ida",8060,108
"600.ida",8061,109
"600.ida",8062,110
"600.ida",8063,111
"600.ida",8064,112
"600.ida",8065,113
"600.ida",8066,114
"600.ida",8067,115
"600.ida",8068,116
"600.ida",8069,117
"600.ida",8070,118
"600.ida",8071,119
"600.ida",8072,120
"600.ida",8073,121
"600.ida",8074,122
"600.ida",8075,123
"600.ida",8076,124
"600.ida",8077,125
"600.ida",8078,126
"600.ida",8079,127
"600.ida",8080,128
"600.ida",8081,129
"600.ida",8082,130
"600.ida",8083,131
"600.ida",8084,132
"600.ida",8085,133
"600.ida",8086,134
"600.ida",8087,135
"600.ida",8088,136
"600.ida",8089,137
"600.ida",8090,138
"600.ida",8091,139
"600.ida",8092,140
"600.ida",8093,141
"600.ida",8094,142
"600.ida",8095,143
"600.ida",8096,144
"600.ida",8097,145
"600.ida",8098,146
"600.ida",8099,147
"600.ida",8100,148
"600.ida",8101,149
"600.ida",8102,150
"600.ida",8103,151
"600.ida",8104,152
"600.ida",8105,153
"600.ida",8106,154
"600.ida",8107,155
"600.ida",8108,156
"600.ida",8109,157
"600.ida",8110,158
"600.ida",8111,159
"600.ida",8112,160
"600.ida",8113,161
"600.ida",8114,162
"600.ida",8115,163
"600.ida",8116,164
"44.ida",7104,1
"44.ida",7105,2
"44.ida",7106,3
"44.ida",7114,4
"44.ida",7115,5
"44.ida",7236,6
"44.ida",7323,7
"44.ida",7324,8
"44.ida",7331,9
"44.ida",7332,10
"44.ida",7333,11
"44.ida",7334,12
"44.ida",7335,13
"44.ida",7336,14
"44.ida",7337,15
"44.ida",7338,16
"44.ida",7339,17
"44.ida",7340,18
"44.ida",7341,19
"44.ida",7342,20
"44.ida",7343,21
"44.ida",7344,22
"44.ida",7345,23
"44.ida",7346,24
"44.ida",7347,25
"44.ida",7348,26
"44.ida",7349,27
"44.ida",7350,28
"44.ida",7351,29
"44.ida",7352,30
"44.ida",7353,31
"44.ida",7354,32
"44.ida",7355,33
"44.ida",7356,34
"44.ida",7357,35
"44.ida",7358,36
"44.ida",7359,37
"44.ida",7360,38
"44.ida",7362,39
"44.ida",7363,40
"44.ida",7364,41
"44.ida",7365,42
"44.ida",7366,43
"44.ida",7367,44
"44.ida",7368,45
"44.ida",7369,46
"44.ida",7370,47
"44.ida",7371,48
"44.ida",7372,49
"44.ida",7373,50
"44.ida",7374,51
"44.ida",7375,52
"44.ida",7376,53
"44.ida",7377,54
"44.ida",7378,55
"44.ida",7379,56
"44.ida",7380,57
"44.ida",7381,58
"44.ida",7382,59
"44.ida",7383,60
"44.ida",7384,61
"44.ida",7385,62
"44.ida",7386,63
"44.ida",7387,64
"44.ida",7388,65
"44.ida",7389,66
"44.ida",7390,67
"44.ida",7391,68
"44.ida",7392,69
"44.ida",7393,70
"44.ida",7394,71
"44.ida",7395,72
"44.ida",7396,73
"44.ida",7397,74
"50.ida",7105,1
"50.ida",7106,2
"50.ida",7107,3
"50.ida",7108,4
"50.ida",7109,5
"50.ida",7110,6
"50.ida",7111,7
"50.ida",7112,8
"50.ida",7113,9
"50.ida",7114,10
"50.ida",7115,11
"50.ida",7331,12
"50.ida",7359,13
"50.ida",7362,14
"50.ida",7456,15
"50.ida",7457,16
"50.ida",7458,17
"50.ida",7459,18
"50.ida",7460,19
"50.ida",7461,20
"50.ida",7462,21
"50.ida",7463,22
"50.ida",7464,23
"50.ida",7465,24
"50.ida",7466,25
"50.ida",7467,26
"50.ida",7468,27
"50.ida",7469,28
"50.ida",7470,29
"50.ida",7471,30
"50.ida",7472,31
"50.ida",7473,32
"50.ida",7474,33
"50.ida",7475,34
"50.ida",7476,35
"50.ida",7477,36
"50.ida",7478,37
"50.ida",7479,38
"50.ida",7480,39
"50.ida",7481,40
"50.ida",7482,41
"50.ida",7483,42
"50.ida",7484,43
"50.ida",7486,44
"50.ida",7487,45
"50.ida",7488,46
"50.ida",7489,47
"50.ida",7490,48
"50.ida",7491,49
"50.ida",7492,50
"50.ida",7493,51
"50.ida",7494,52
"50.ida",7495,53
"50.ida",7496,54
"50.ida",7497,55
"50.ida",7498,56
"50.ida",7499,57
"50.ida",7500,58
"50.ida",7501,59
"50.ida",7502,60
"50.ida",7503,61
"d50.ida",7115,1
"d50.ida",7172,2
"d50.ida",7173,3
"d50.ida",7174,4
"d50.ida",7175,5
"d50.ida",7176,6
"d50.ida",7177,7
"d50.ida",7178,8
