stop_id,stop_lat,stop_lon,stop_calle,stop_esquina
7000,-31.40380174663422,-64.26824207762465,Calle Publica 3 N° 6552,Esq. Rio Yuspe
7001,-31.40687606402255,-64.26909452451899,Dr. Jose Ceballos 591,Esq. Jose Cortez Funes
7002,-31.40901571402737,-64.26910897264291,Dr. Jose Ceballos 750,Esq. Cleto Aguirre
7003,-31.40929899569834,-64.26627011903112,Cleto Aguirre 6300,Esq. Asia
7004,-31.40931831195504,-64.26407828620084,Cleto Aguirre 6031,Esq. Alto Alegre
7005,-31.40709160938683,-64.26383934184169,Alto Alegre 650,Esq. Jose Cortez Funes
7006,-31.40659782409476,-64.26485127446209,Luz Vieyra Mendez 661,
7007,-31.40442244332611,-64.26487152662784,Luz Vieyra Mendez 500,Esq. Cbo. 1° Marciano Veron
7008,-31.40213383298375,-64.26505257781682,Docentes Argentinos 6172,Esq. Luz Vieyra Mendez
7009,-31.40183232114041,-64.26661093565197,Docentes Argentinos 6408,Esq. Peralta Y Tejeda
7010,-31.40063581965067,-64.26796298189146,Juana Manso 6600,Esq. Revolucion Libertadora
7011,-31.39528018693958,-64.26596600685828,Av. Colon 6300,Rotonda El Tropezon
7012,-31.39708294622534,-64.26169560838046,Av. Don Bosco 6077,Esq. Francisco De Paula Rivero
7013,-31.39801916836698,-64.25974697031725,Av. Don Bosco 5800,Esq. Pasco
7014,-31.39900633342447,-64.25772008677193,Av. Don Bosco 5600,Esq. Rio Bamba
7015,-31.39999179832157,-64.25556921933008,Av. Don Bosco 5451,Esq. Membrillar
7016,-31.4007780574184,-64.25394657637575,Av. Don Bosco 5301,Esq. Potrerillos
7017,-31.40197073989656,-64.25143828157778,Av. Don Bosco 5153,Coleg. San Buenaventura
7018,-31.40327685824836,-64.24865518118335,Av. Don Bosco 4987,Esq. Quijanno De Velazco
7019,-31.40384548119402,-64.24752228351572,Av. Don Bosco 4849,Esq. Jean Sonnet
7020,-31.40459635180936,-64.24591524529251,Av. Don Bosco 4771,Esq. Sauce Grande
7021,-31.40544616210972,-64.24412302510093,Av. Don Bosco 4675,Empresa Coniferal
7022,-31.40613609866407,-64.2424162736955,Av. Don Bosco 4467,Plaza B° Las Palmas
7023,-31.40666554653694,-64.24036306889515,Av. Don Bosco 4337,Esq. Juan Garcia Martinez
7024,-31.40707158635713,-64.23877822766521,Av. Don Bosco 4230,Esq. Aldo Facundo Vergara
7025,-31.40757416132686,-64.23685100952355,Av. Don Bosco 4050,Esq. Curumalan
7026,-31.40790109997776,-64.23373062402393,Av. Don Bosco 3873,Esq. Juan Francisco Terrada
7027,-31.40779392518105,-64.23213996768982,Av. Don Bosco 3795,Esq. Francisco Antonio Candio
7028,-31.40785762006788,-64.22993220240767,Luis De Azpeitia 3609,Esq. Felix Paz
7029,-31.40813038895773,-64.22788637495819,Luis De Azpeitia 3425,Esq. Juana Azurduy
7030,-31.40782612674094,-64.22600475577286,Cjal. Peñaloza 373,Esq. Guillermo Reyna
7031,-31.40691403812641,-64.22446882423743,Av. Duarte Quiros 3173,Esq. Maestro Vidal
7032,-31.40775662057203,-64.22188829074017,Av. Duarte Quiros 2921,Esq. Leon Pinelo
7033,-31.40837521976625,-64.21988269635328,Av. Duarte Quiros 2757,Esq. Pje. Almirante Guillermo Brown
7034,-31.40898213887007,-64.217983139746,Av. Duarte Quiros 2615,Esq. Padre Lozano
7035,-31.40993709481116,-64.21501315157714,Av. Duarte Quiros 2329,Esq. Pedro Goyena
7036,-31.41056462328566,-64.2130796159293,Av. Duarte Quiros 2159,Esq. Angel Fausto Avalos
7037,-31.41137144165898,-64.21054816335993,Av. Duarte Quiros 1939,Esq. Ingeniero Juan M. Lopez
7038,-31.41204794177325,-64.20838669289824,Av. Duarte Quiros 1717,Esq. Miguel Urrutia
