trip_id,stop_id,stop_sequence
20.ida,4001,1
20.ida,4002,2
20.ida,4003,3
20.ida,4004,4
20.ida,4005,5
20.ida,4006,6
20.ida,4007,7
20.ida,4008,8
20.ida,4009,9
20.ida,4010,10
20.ida,4011,11
20.ida,4012,12
20.ida,4013,13
20.ida,4014,14
20.ida,4015,15
20.ida,4016,16
20.ida,4017,17
20.ida,4018,18
20.ida,4019,19
20.ida,4020,20
20.ida,4021,21
20.ida,4022,22
20.ida,4023,23
20.ida,4024,24
20.ida,4025,25
20.ida,4026,26
20.ida,4027,27
20.ida,4028,28
20.ida,4029,29
20.ida,4030,30
20.ida,4031,31
20.ida,4032,32
20.ida,4033,33
20.ida,4034,34
20.ida,4035,35
20.ida,4036,36
20.ida,4037,37
20.ida,4038,38
20.ida,4039,39
20.ida,4040,40
20.ida,4041,41
20.ida,4042,42
20.ida,4043,43
20.ida,4044,44
20.ida,4045,45
20.ida,4046,46
20.ida,4047,47
20.ida,4048,48
20.ida,4049,49
20.ida,4050,50
20.ida,4051,51
20.ida,4052,52
20.ida,4053,53
20.ida,4054,54
20.ida,4055,55
20.ida,4056,56
20.ida,4057,57
20.ida,4058,58
20.ida,4059,59
20.ida,4060,60
20.ida,4061,61
20.ida,4062,62
20.ida,4063,63
20.ida,4064,64
20.ida,4065,65
20.ida,4066,66
20.ida,4067,67
20.ida,4068,68
20.ida,4069,69
20.reg,4070,1
20.reg,4071,2
20.reg,4072,3
20.reg,4073,4
20.reg,4074,5
20.reg,4075,6
20.reg,4076,7
20.reg,4077,8
20.reg,4078,9
20.reg,4079,10
20.reg,4080,11
20.reg,4081,12
20.reg,4082,13
20.reg,4083,14
20.reg,4084,15
20.reg,4085,16
20.reg,4086,17
20.reg,4087,18
20.reg,4088,19
20.reg,4089,20
20.reg,4090,21
20.reg,4091,22
20.reg,4092,23
20.reg,4093,24
20.reg,4094,25
20.reg,4095,26
20.reg,4096,27
20.reg,4097,28
20.reg,4098,29
20.reg,4099,30
20.reg,4100,31
20.reg,4101,32
20.reg,4102,33
20.reg,4103,34
20.reg,4104,35
20.reg,4105,36
20.reg,4106,37
20.reg,4107,38
20.reg,4108,39
20.reg,4109,40
20.reg,4110,41
20.reg,4111,42
20.reg,4112,43
20.reg,4113,44
20.reg,4114,45
20.reg,4115,46
20.reg,4116,47
20.reg,4117,48
