stop_id,stop_calle,stop_numero,stop_frente,stop_esquina,stop_entre_a,stop_entre_b,stop_lat,stop_lon
4026,Maestro López,3512,,Colegio Niños Cantores,,,-31.43995357998112,-64.19261107399022
4027,Medina Allende,,,Haya de la Torre,,,-31.43774560890692,-64.19227437515507
4024,Cruz Roja Argentina,347,,Belardinelli,,,-31.44316338289942,-64.1928448241767
4025,Maestro López,3440,,Universidad Tecnológica,,,-31.44217101142263,-64.19375319755527
4022,Cruz Roja Argentina,733,,Valparaiso,,,-31.44235925144292,-64.18566719716824
4023,Cruz Roja Argentina,428,,,Valparaiso,Maestro López,-31.44276937245065,-64.18953070102307
4020,Nores Martinez,,,Justiniano Posse,Emilio Civit,Justiniano Posse,-31.44504701055143,-64.18272141772114
4021,Nores Martinez,,,,Del Comercio,Malagueño,-31.44297043083732,-64.18252840309768
4028,Enrique Barros,,,,Haya de la Torre,Enfermera Gordillo,-31.43821084125349,-64.18860828087684
4029,Enrique Barros,,,Pabellón Perú,Haya de la Torre,Los Nogales,-31.43641433594727,-64.1879954330509
4686,Rodriguez del Busto,3627,,,Guillermo Butler,Batle Planas,-31.36792202260259,-64.22105699976306
4687,Rodriguez del Busto,3219,,,Guido,Castagnino,-31.37062050506471,-64.22170308717811
4684,Cordillera,3731,,,Loaysa,Cruz Varela,-31.36456804094757,-64.22414765525376
4685,Cordillera,3447,,,La Ferrere,Rodriguez del Busto,-31.36573420263262,-64.22143068480875
4682,Cordillera,4113,,,Martel de los Rios,Gregorio Gavier,-31.36285576960795,-64.22804333611218
4683,Cordillera,4015,,,Gregorio Gavier,Roque Funes,-31.36343655001595,-64.22668747519646
4732,Calle Pública,6150,,,Alvarez de Toledo,Monetta,-31.33948440819718,-64.24488652926141
4733,Gritti,6215,,,Manuel Galvez,Fermín Martín,-31.33738939882633,-64.24606135221549
4730,Alvarez de Toledo,6938,,,Publica,Publica,-31.34143707545188,-64.24443785886405
4731,Alvarez de Toledo,7036,,,Publica,Publica,-31.34072534692268,-64.24380739690764
4736,Fermín Martín,7880,,,Alberto Faje,Bejanele,-31.33234377194129,-64.24633239788523
4737,Meluzardi,6260,,,Fermín Martín,Santiago Salgos,-31.32990701490782,-64.24668373962415
4734,Fermín Martín,7592,,,Riganti,Alberto Faje,-31.33549213736185,-64.24646698659397
4735,Fermín Martín,7689,,Alberto Faje,Riganti,Alberto Faje,-31.33374594289838,-64.24631476020802
4739,Calle 10,6015,,,Parmigiani,Publica,-31.32992442462047,-64.24419621957753
4527,O´higgins,4424,,Transax,Colectora Norte Circunv.,Richieri,-31.46385896914315,-64.16865458488556
4526,O´higgins,4725,,,Colectora Norte Circunv.,Richieri,-31.46606646394048,-64.16857727418643
4525,Miguel de Mojica,1122,,,Rodriguez de Ruescas,Gaspar de Quevedo,-31.35742294783068,-64.1896734945217
4524,Miguel de Mojica,1335,,,Suarez Mejías,Luciano de Figueroa,-31.35745144196944,-64.19228958506346
4523,Diego Díaz,792,,Suarez Mejías,Tristan de Tejeda,Suarez Mejías,-31.35762927070652,-64.19459769973079
4834,Huarte,3198,,,Díaz de Solís,Sebastián Gaboto,-31.3752772056646,-64.19216658651237
4655,De los Alemanes,4275,,,Spilimbergo,De los Toscanos,-31.3434274880009,-64.22532015672029
4654,De los Alemanes,4517,,Almogavares,D e los Franceses,Almogavares,-31.34344608257243,-64.22828589642242
4657,De los Alemanes,3929,,,De los Castellanos,De los Irlandeses,-31.34341621078715,-64.22111478531755
4656,De los Alemanes,4120,,De los Friulanos,De los Toscanos,De los Friulanos,-31.34344029436378,-64.22334629992329
4651,De los Alemanes,5317,,De los Ingleses,De Los Sirios,Los Ingleses,-31.34341341856275,-64.23752782149307
4650,De los Yugoslavos,6275,,,Los Genoveses,De los Alemanes,-31.3431692740587,-64.2397518985585
4653,De los Alemanes,4709,,,De Los Argentinos,De los Españoles,-31.34340926977248,-64.2306979301226
4652,De los Alemanes,4935,,,De los Suizos,De los Polacos,-31.34341927233256,-64.23307947929281
4836,Gaboto,1642,,,Francisco Vallés,Cornelio  Saavedra,-31.37509081668465,-64.1960656872968
4659,Los Lombardos,6287,,,De los Alemanes,De los Genoveses,-31.34255517338531,-64.21730272780147
4658,De los Alemanes,3700,,,Los Sicilianos,Los Lombardos,-31.34340949892292,-64.21816023796976
4813,Agua de Oro,3245,,,Publica,Sampacho,-31.45306763242459,-64.15852741752383
4812,Pampayasta,2926,,,Moron,Agua de Oro,-31.44980201686016,-64.15863289077234
4811,Huascha,3192,,Pampayasta,Pigue,Pampayasta,-31.44965701549926,-64.16065124623299
4810,Huascha,3096,,,Azul,Pigue,-31.44802826600371,-64.16067648937931
4817,Celso Barrios,3188,,Publica,,,-31.45864020629888,-64.15622301553569
4816,Agua de Oro,,,Celso Barrios,,,-31.4584252641164,-64.1585479940524
4815,Agua de Oro,,,Publica,,,-31.45604164217172,-64.1585656669998
4814,Agua de Oro,,,,Calmayo,Publica,-31.45465910156104,-64.15854607110444
4819,Agua de Oro,,,Pública,,,-31.45450915959361,-64.15842797491364
4818,Agua de Oro,,,Pública,,,-31.4562962031045,-64.15846647144015
5182,Leartes,746,,,Monteagudo,La Riestra,-31.41175099345166,-64.13617893268787
5183,Leartes,266,,,Chiclana,Azcuenaga,-31.41327251948662,-64.1364412204651
5180,Obispo Castellanos,105,,,Chiclana,Monteagudo,-31.41133108748385,-64.13849791649109
5181,Monteagudo,3479,,,Lopez Soria,Pedernera,-31.41135733096634,-64.13749664430499
5186,Cartechini,356,,,Blas Parera,La Riestra,-31.41383718385377,-64.13112635000073
5187,Cartechini,105,,,Blas Parera,La Riestra,-31.41208236230469,-64.1299837652183
5184,Leartes,382,,,Pasaje de la Paña,Blas Parera,-31.41451916635041,-64.1366042997614
5185,Blas Parera,3904,,,Querini,Cartechini,-31.41461882495323,-64.13256386224882
5188,Cartechini,105,,,De la Riestra,Rafael Bonet,-31.41221839046413,-64.13028113331693
5189,Cartechini,284,,,Rafael Bonet,Blas Parera,-31.41391595046189,-64.13135067434754
5458,Igualdad,3590,,,Alpatacal,Del Carmen,-31.39531357590291,-64.22609338424095
5459,Igualdad,3698,,,Del Carmen,Clodomiro Arzac,-31.39491697513071,-64.22728261626851
5450,Enrique Tornú,2696,,,Mariano Castex,Monseñor de Andrea,-31.39673022161476,-64.21402483001191
5451,Enrique Tornú,2856,,Cayetano Silva,Garzon Maceda,Cayetano Silva,-31.39612213060496,-64.21603425927236
5452,Cayetano Silva,811,,,Pasaje Gorbea,12 de Octubre,-31.3967043103943,-64.216860471273
5453,Cayetano Silva,515,,,La Tablada,Humberto Primo,-31.39951793908793,-64.2180682885082
5454,Humberto Primo,3134,,,Caferatta,Justo Paez Molina,-31.39862092635181,-64.22124906717029
