stop_id,stop_calle,stop_numero,stop_frente,stop_esquina,stop_entre_a,stop_entre_b
4001,Armando Sica,,,Ferreyra de Roca,,
4001,Armando Sica,,,Ferreyra de Roca,,
4001,Armando Sica,,,Ferreyra de Roca,,
4001,Armando Sica,,,Ferreyra de Roca,,
4002,Armando Sica,,,Gomez  Molina,Ferreyra de Roca,Gomez  Molina
4002,Armando Sica,,,Gomez  Molina,,
4002,Armando Sica,,,Gomez  Molina,,
4002,Armando Sica,,,Gomez  Molina,,
4003,Armando Sica,,,Onofrio Palamara,Gomez  Molina,Onofrio Palamara
4003,Armando Sica,,,Onofrio Palamara,,
4004,Manuel Reyna,,4212,,Ramón Villafañe,Onofrio Palamara
4005,Armando Sica,4163,,Lescano Ceballos,Ramón Villafañe,Lescano Ceballos
4006,Lopez Cabrera,2750,,Ernesto Farina,Manuel Rryna,Ernesto Farina
4007,Lopez Cabrera,2658,,,Armando Sica,Publica
4008,Lopez Cabrera,,2635,,Publica,Richieri
4009,Richieri,,3962,,Lopez Cabrera,Celso Barrios
4009,Richieri,,3962,,Lopez Cabrera,Celso Barrios
4010,Richieri,,3811,Cornelio Pino,O'higging,Cornelio Pino
4010,Richieri,,3811,Cornelio Pino,O'higging,Cornelio Pino
4011,Richieri,,3668,,Pedro Cabrera,Bartolomé de las Casas
4011,Richieri,,3668,,Pedro Cabrera,Bartolomé de las Casas
4012,Richieri,,3559,,Bartolomé de las Casas,Manuel Saravia
4012,Richieri,,3559,,Bartolomé de las Casas,Manuel Saravia
4013,Richieri,3408,,Luis Arguello,Manuel Saravia,Luis Arguello
4013,Richieri,3408,,Luis Arguello,Manuel Saravia,Luis Arguello
4014,Richieri,,3346,,Matienzo,Copina
4014,Richieri,,3346,,Matienzo,Copina
4015,Richieri,,3178,,Argañaraz y Murgia,Olimpia
4016,Richieri,1335,,,Cosquín,Javier Díaz
4017,Abreu de Figueroa,2967,,Javier Díaz,,
4018,Javier Díaz,1087,,,Marcelo Garlot,Arballo de Bustamante
4019,Javier Díaz,,934,Nores Martinez,,
4020,Nores Martinez,2859,,Justiniano Posse,Emilio Civit,Justiniano Posse
4020,Nores Martinez,,,Justiniano Posse,Emilio Civit,Justiniano Posse
4020,Nores Martinez,,,Justiniano Posse,Emilio Civit,Justiniano Posse
4020,Nores Martinez,,,Justiniano Posse,Emilio Civit,Justiniano Posse
4021,Nores Martinez,2651,,,Del Comercio,Malagueño
4021,Nores Martinez,,,,Del Comercio,Malagueño
4021,Nores Martinez,,,,Del Comercio,Malagueño
4021,Nores Martinez,,,,Del Comercio,Malagueño
4022,Cruz Roja Argentina,733,,Valparaiso,,
4023,Cruz Roja Argentina,428,,,Valparaiso,Maestro López
4024,Cruz Roja Argentina,347,,Belardinelli,,
4025,Maestro López,3440,,Universidad Tecnológica,,
4025,Maestro López,3440,,Universidad Tecnológica,,
4025,Maestro López,3440,,Universidad Tecnológica,,
4025,Maestro López,3440,,Universidad Tecnológica,,
4026,Maestro López,3512,,Colegio Niños Cantores,,
4026,Maestro López,3512,,Colegio Niños Cantores,,
4026,Maestro López,3512,,Colegio Niños Cantores,,
4026,Maestro López,3512,,Colegio Niños Cantores,,
4027,Medina Allende,,,Haya de la Torre,,
4027,Medina Allende,,,Haya de la Torre,,
4027,Medina Allende,,,Haya de la Torre,,
4027,Medina Allende,,,Haya de la Torre,,
4028,Enrique Barros,,,,Haya de la Torre,Enfermera Gordillo
4028,Enrique Barros,,,,Haya de la Torre,Enfermera Gordillo
4028,Enrique Barros,,,,Haya de la Torre,Enfermera Gordillo
4028,Enrique Barros,,,,Haya de la Torre,Enfermera Gordillo
4029,Enrique Barros,,,Pabellón Perú,Haya de la Torre,Los Nogales
4029,Enrique Barros,,,Pabellón Perú,Haya de la Torre,Los Nogales
4029,Enrique Barros,,,Pabellón Perú,Haya de la Torre,Los Nogales
4029,Enrique Barros,,,Pabellón Perú,Haya de la Torre,Los Nogales
4029,Enrique Barros,,,Pabellón Perú,Haya de la Torre,Los Nogales
4029,Enrique Barros,,,Pabellón Perú,Haya de la Torre,Los Nogales
4029,Enrique Barros,,,Pabellón Perú,Haya de la Torre,Los Nogales
4030,Los Nogales,,,Cs de la Información,Enrique Barros,Valparaiso
4030,Los Nogales,,,Cs de la Información,Enrique Barros,Valparaiso
4030,Los Nogales,,,Cs de la Información,Enrique Barros,Valparaiso
4030,Los Nogales,,,Cs de la Información,Enrique Barros,Valparaiso
4030,Los Nogales,,,Cs de la Información,Enrique Barros,Valparaiso
4030,Los Nogales,,,Cs de la Información,Enrique Barros,Valparaiso
4030,Los Nogales,,,Cs de la Información,Enrique Barros,Valparaiso
4031,Hipólito Irigoyen,645,,,Thays,Plaza España
4031,Hipólito Irigoyen,645,,,Thays,Plaza España
4031,Hipólito Irigoyen,640,,,Thays,Plaza España
4031,Hipólito Irigoyen,645,,,Thays,Plaza España
4031,Hipólito Irigoyen,645,,,Thays,Plaza España
4032,Chacabuco,,656,,Obispo Oro,San Lorenzo
