trip_id,stop_id
20.ida,4001
20.ida,4002
20.ida,4003
20.ida,4004
20.ida,4005
20.ida,4006
20.ida,4007
20.ida,4008
20.ida,4009
20.ida,4010
20.ida,4011
20.ida,4012
20.ida,4013
20.ida,4014
20.ida,4015
20.ida,4016
20.ida,4017
20.ida,4018
20.ida,4019
20.ida,4020
20.ida,4021
20.ida,4022
20.ida,4023
20.ida,4024
20.ida,4025
20.ida,4026
20.ida,4027
20.ida,4028
20.ida,4029
20.ida,4030
20.ida,4031
20.ida,4032
20.ida,4033
20.ida,4034
20.ida,4035
20.ida,4036
20.ida,4037
20.ida,4038
20.ida,4039
20.ida,4040
20.ida,4041
20.ida,4042
20.ida,4043
20.ida,4044
20.ida,4045
20.ida,4046
20.ida,4047
20.ida,4048
20.ida,4049
20.ida,4050
20.ida,4051
20.ida,4052
20.ida,4053
20.ida,4054
20.ida,4055
20.ida,4056
20.ida,4057
20.ida,4058
20.ida,4059
20.ida,4060
20.ida,4061
20.ida,4062
20.ida,4063
20.ida,4064
20.ida,4065
20.ida,4066
20.ida,4067
20.ida,4068
20.ida,4069
20.reg,4070
20.reg,4071
20.reg,4072
20.reg,4073
20.reg,4074
20.reg,4075
20.reg,4076
20.reg,4077
20.reg,4078
20.reg,4079
20.reg,4080
20.reg,4081
20.reg,4082
20.reg,4083
20.reg,4084
20.reg,4085
20.reg,4086
20.reg,4087
20.reg,4088
20.reg,4089
20.reg,4090
20.reg,4091
20.reg,4092
20.reg,4093
20.reg,4094
20.reg,4095
20.reg,4096
20.reg,4097
20.reg,4098
20.reg,4099
20.reg,4100
20.reg,4101
20.reg,4102
20.reg,4103
20.reg,4104
20.reg,4105
20.reg,4106
20.reg,4107
20.reg,4108
20.reg,4109
20.reg,4110
20.reg,4111
20.reg,4112
20.reg,4113
20.reg,4114
20.reg,4115
20.reg,4116
20.reg,4117
20.reg,4118
20.reg,4119
20.reg,4120
20.reg,4121
20.reg,4122
20.reg,4123
20.reg,4124
20.reg,4125
20.reg,4126
20.reg,4127
20.reg,4128
20.reg,4129
20.reg,4130
20.reg,4131
20.reg,4132
20.reg,4133
20.reg,4134
20.reg,4135
20.reg,4136
20.reg,4137
20.reg,4138
21.ida,4140
21.ida,4142
21.ida,4143
21.ida,4001
21.ida,4002
21.ida,4144
21.ida,4145
21.ida,4146
21.ida,4147
21.ida,4148
21.ida,4149
21.ida,4150
21.ida,4151
21.ida,4152
21.ida,4153
21.ida,4154
21.ida,4155
21.ida,4156
21.ida,4157
21.ida,4158
21.ida,4159
21.ida,4160
21.ida,4161
21.ida,4162
21.ida,4163
21.ida,4164
21.ida,4165
21.ida,4166
21.ida,4167
21.ida,4168
21.ida,4169
21.ida,4031
21.ida,4032
21.ida,4033
21.ida,4034
21.ida,4035
21.ida,4036
21.ida,4037
21.ida,4038
21.ida,4039
21.ida,4040
21.ida,4041
21.ida,4042
21.ida,4043
21.ida,4044
21.ida,4045
21.ida,4046
21.ida,4047
21.ida,4048
21.ida,4049
21.ida,4050
21.ida,4051
21.ida,4180
21.ida,4181
21.ida,4182
21.ida,4183
21.ida,4184
21.ida,4185
21.ida,4186
21.ida,4187
21.ida,4188
21.ida,4189
21.ida,4190
21.ida,4191
21.ida,4192
21.ida,4193
21.ida,4194
21.ida,4195
21.reg,4196
21.reg,4197
21.reg,4198
21.reg,4199
21.reg,4200
21.reg,4201
21.reg,4202
21.reg,4203
21.reg,4204
21.reg,4205
21.reg,4206
21.reg,4207
21.reg,4208
21.reg,4209
21.reg,4210
21.reg,4211
21.reg,4212
21.reg,4086
21.reg,4087
21.reg,4088
21.reg,4089
21.reg,4090
21.reg,4091
21.reg,4092
21.reg,4093
21.reg,4094
21.reg,4095
21.reg,4096
21.reg,4097
21.reg,4098
21.reg,4213
21.reg,4214
21.reg,4101
21.reg,4102
21.reg,4215
21.reg,4216
21.reg,4217
21.reg,4218
21.reg,4219
21.reg,4109
21.reg,4110
21.reg,4220
21.reg,4221
21.reg,4222
21.reg,4223
21.reg,4224
21.reg,4225
21.reg,4226
