"trip_id","stop_id","stop_sequence","is_timepoint","shape_dist_traveled"
"b.60.ida","C3450",1,,
"b.60.ida","C3451",2,,
"b.60.ida","C3452",3,,
"b.60.ida","C3453",4,,
"b.60.ida","C3454",5,,
"b.60.ida","C3455",6,,
"b.60.ida","C3456",7,,
"b.60.ida","C3457",8,,
"b.60.ida","C3458",9,,
"b.60.ida","C3459",10,,
"b.60.ida","C3460",11,,
"b.60.ida","C3461",12,,
"b.60.ida","C3462",13,,
"b.60.ida","C3463",14,,
"b.60.ida","C3464",15,,
"b.60.ida","C3465",16,,
"16.reg","C0194",1,,
"16.reg","C0196",2,,
"16.reg","C0197",3,,
"16.reg","C0198",4,,
"16.reg","C0202",5,,
"16.reg","C0203",6,,
"16.reg","C0205",7,,
"16.reg","C0206",8,,
"16.reg","C1212",9,,
"16.reg","C1217",10,,
"16.reg","C1222",11,,
"16.reg","C1223",12,,
"16.reg","C1232",13,,
"16.reg","C1415",14,,
"16.reg","C1420",15,,
"16.reg","C1423",16,,
"16.reg","C1424",17,,
"16.reg","C1484",18,,
"16.reg","C1485",19,,
"16.reg","C1681",20,,
"16.reg","C1682",21,,
"16.reg","C2034",22,,
"16.reg","C2036",23,,
"16.reg","C2050",24,,
"16.reg","C2059",25,,
"16.reg","C2061",26,,
"16.reg","C2280",27,,
"16.reg","C2287",28,,
"16.reg","C2876",29,,
"16.reg","C2877",30,,
"16.reg","C2878",31,,
"16.reg","C2879",32,,
"16.reg","C2880",33,,
"16.reg","C2881",34,,
"16.reg","C2882",35,,
"16.reg","C2883",36,,
"16.reg","C2884",37,,
"16.reg","C2885",38,,
"16.reg","C2886",39,,
"16.reg","C2887",40,,
"16.reg","C2888",41,,
"16.reg","C2889",42,,
"16.reg","C2890",43,,
"16.reg","C2891",44,,
"16.reg","C2892",45,,
"16.reg","C2894",46,,
"16.reg","C2895",47,,
"16.reg","C2900",48,,
"16.reg","C2903",49,,
"16.reg","C2904",50,,
"16.reg","C2912",51,,
"16.reg","C2913",52,,
"16.reg","C2915",53,,
"16.reg","C2919",54,,
"16.reg","C2925",55,,
"16.reg","C2929",56,,
"16.reg","C2953",57,,
"16.reg","C2959",58,,
"16.reg","C3405",59,,
"16.reg","C3406",60,,
"16.reg","C3407",61,,
"58.reg","C0811",1,,
"b.60.reg","C3466",1,,
"b.60.reg","C3467",2,,
"b.60.reg","C3468",3,,
"b.60.reg","C3469",4,,
"b.60.reg","C3470",5,,
"b.60.reg","C3471",6,,
"b.60.reg","C3472",7,,
"b.60.reg","C3473",8,,
"b.60.reg","C3474",9,,
"b.60.reg","C3475",10,,
"b.60.reg","C3476",11,,
"b.60.reg","C3477",12,,
"b.60.reg","C3478",13,,
"b.60.reg","C3479",14,,
"b.60.reg","C3480",15,,
"b.60.reg","C3481",16,,
"17.reg","C0906",1,,
"17.reg","C0908",2,,
"17.reg","C1013",3,,
"17.reg","C1197",4,,
"17.reg","C1198",5,,
"17.reg","C1217",6,,
"17.reg","C1222",7,,
"17.reg","C1223",8,,
"17.reg","C1232",9,,
"17.reg","C1245",10,,
"17.reg","C1246",11,,
"17.reg","C1250",12,,
"17.reg","C1251",13,,
"17.reg","C1253",14,,
"17.reg","C1258",15,,
"17.reg","C1261",16,,
"17.reg","C1266",17,,
"17.reg","C1267",18,,
"17.reg","C1270",19,,
"17.reg","C1384",20,,
"17.reg","C1385",21,,
"17.reg","C1386",22,,
"17.reg","C1387",23,,
"17.reg","C1388",24,,
"17.reg","C1390",25,,
"17.reg","C1391",26,,
"17.reg","C1392",27,,
"17.reg","C1393",28,,
"17.reg","C1394",29,,
"17.reg","C1395",30,,
"17.reg","C1396",31,,
"17.reg","C1397",32,,
"17.reg","C1398",33,,
"17.reg","C1399",34,,
"17.reg","C1400",35,,
"17.reg","C1401",36,,
"17.reg","C1402",37,,
"17.reg","C1403",38,,
"17.reg","C1404",39,,
"17.reg","C1405",40,,
"17.reg","C1406",41,,
"17.reg","C1407",42,,
"17.reg","C1415",43,,
"17.reg","C1420",44,,
"17.reg","C1423",45,,
"17.reg","C1424",46,,
"17.reg","C1531",47,,
"17.reg","C1533",48,,
"17.reg","C1537",49,,
"17.reg","C1544",50,,
"17.reg","C1552",51,,
"17.reg","C1554",52,,
"17.reg","C1669",53,,
"17.reg","C1858",54,,
"17.reg","C1863",55,,
"17.reg","C1873",56,,
"17.reg","C1875",57,,
"17.reg","C1879",58,,
"17.reg","C2036",59,,
"17.reg","C2050",60,,
"17.reg","C2059",61,,
"17.reg","C2061",62,,
"17.reg","C2071",63,,
"17.reg","C2089",64,,
"17.reg","C2102",65,,
"17.reg","C2103",66,,
"17.reg","C2105",67,,
"17.reg","C2106",68,,
"17.reg","C2108",69,,
"17.reg","C2109",70,,
"17.reg","C2110",71,,
"17.reg","C2111",72,,
"17.reg","C2112",73,,
"17.reg","C2113",74,,
"17.reg","C2114",75,,
"17.reg","C2116",76,,
"17.reg","C2117",77,,
"17.reg","C2122",78,,
"17.reg","C2124",79,,
"17.reg","C2126",80,,
"17.reg","C2127",81,,
"17.reg","C2128",82,,
"17.reg","C2129",83,,
"17.reg","C2130",84,,
"17.reg","C2131",85,,
"17.reg","C2132",86,,
"17.reg","C2133",87,,
"17.reg","C2134",88,,
"17.reg","C2135",89,,
"17.reg","C2136",90,,
"17.reg","C2137",91,,
"17.reg","C2138",92,,
"17.reg","C2280",93,,
"17.reg","C2287",94,,
"17.reg","C2293",95,,
"17.reg","C2308",96,,
"17.reg","C2324",97,,
"17.reg","C2326",98,,
"17.reg","C2329",99,,
"17.reg","C2342",100,,
"17.reg","C2345",101,,
"17.reg","C2346",102,,
"17.reg","C2347",103,,
"17.reg","C2348",104,,
"17.reg","C2350",105,,
"17.reg","C2352",106,,
"17.reg","C2507",107,,
"17.reg","C2509",108,,
"17.reg","C2511",109,,
"17.reg","C2527",110,,
"17.reg","C2528",111,,
"17.reg","C2531",112,,
"17.reg","C2900",113,,
"17.reg","C2903",114,,
"17.reg","C2904",115,,
"17.reg","C2912",116,,
"17.reg","C2913",117,,
"17.reg","C2915",118,,
"17.reg","C2919",119,,
"17.reg","C2959",120,,
"17.reg","C2984",121,,
"17.reg","C2160",122,,
"17.reg","C2161",123,,
"17.reg","C2162",124,,
"17.reg","C2163",125,,
"66.ida","C0116",1,,
"66.ida","C0120",2,,
"66.ida","C0220",3,,
"66.ida","C0236",4,,
"66.ida","C0390",5,,
"66.ida","C0548",6,,
"66.ida","C0583",7,,
"66.ida","C0711",8,,
"66.ida","C0716",9,,
"66.ida","C0717",10,,
"66.ida","C0847",11,,
"66.ida","C0848",12,,
"66.ida","C0852",13,,
"66.ida","C0856",14,,
"66.ida","C0857",15,,
"66.ida","C0858",16,,
"66.ida","C0914",17,,
"66.ida","C0922",18,,
"66.ida","C0923",19,,
"66.ida","C0924",20,,
"66.ida","C0926",21,,
"66.ida","C0927",22,,
"66.ida","C0928",23,,
"66.ida","C0932",24,,
"66.ida","C0933",25,,
"66.ida","C0934",26,,
"66.ida","C0936",27,,
"66.ida","C0937",28,,
"66.ida","C0938",29,,
"66.ida","C0939",30,,
"66.ida","C0940",31,,
"66.ida","C0941",32,,
"66.ida","C0942",33,,
"66.ida","C0943",34,,
"66.ida","C0944",35,,
"66.ida","C0946",36,,
"66.ida","C0947",37,,
"66.ida","C0948",38,,
"66.ida","C0949",39,,
"66.ida","C0950",40,,
"66.ida","C0951",41,,
"66.ida","C0952",42,,
"66.ida","C0953",43,,
"66.ida","C0954",44,,
"66.ida","C0955",45,,
"66.ida","C0956",46,,
"66.ida","C0957",47,,
"66.ida","C0958",48,,
"66.ida","C0959",49,,
"66.ida","C1017",50,,
"66.ida","C3048",51,,
"66.ida","C3401",52,,
"66.ida","C3402",53,,
"66.ida","C3403",54,,
"66.ida","C3404",55,,
"66.ida","C3408",56,,
"11.ida","C1014",1,,
"11.ida","C1024",2,,
"11.ida","C1304",3,,
"11.ida","C1305",4,,
"11.ida","C1311",5,,
"11.ida","C1318",6,,
"11.ida","C1320",7,,
"11.ida","C1324",8,,
"11.ida","C1327",9,,
"11.ida","C1329",10,,
"11.ida","C1333",11,,
"11.ida","C1334",12,,
"11.ida","C1340",13,,
"11.ida","C1351",14,,
"11.ida","C1352",15,,
"11.ida","C1476",16,,
"11.ida","C1538",17,,
"11.ida","C1653",18,,
"11.ida","C1660",19,,
"11.ida","C1663",20,,
"11.ida","C1672",21,,
"11.ida","C1720",22,,
"11.ida","C1728",23,,
"11.ida","C1732",24,,
"11.ida","C1744",25,,
"11.ida","C1745",26,,
"11.ida","C1749",27,,
"11.ida","C1756",28,,
"11.ida","C1949",29,,
"11.ida","C1956",30,,
"11.ida","C1971",31,,
"11.ida","C1978",32,,
"11.ida","C1989",33,,
"11.ida","C1994",34,,
"11.ida","C2172",35,,
"11.ida","C2191",36,,
"11.ida","C2224",37,,
"11.ida","C2225",38,,
"11.ida","C2228",39,,
"11.ida","C2229",40,,
"11.ida","C2230",41,,
"11.ida","C2231",42,,
"11.ida","C2232",43,,
"11.ida","C2233",44,,
"11.ida","C2234",45,,
"11.ida","C2235",46,,
"11.ida","C2236",47,,
"11.ida","C2237",48,,
"11.ida","C2357",49,,
"11.ida","C2358",50,,
"11.ida","C2359",51,,
"11.ida","C2360",52,,
"11.ida","C2361",53,,
"11.ida","C2362",54,,
"11.ida","C2363",55,,
"11.ida","C2364",56,,
"11.ida","C2366",57,,
"11.ida","C2367",58,,
"11.ida","C2368",59,,
"11.ida","C2369",60,,
"11.ida","C2370",61,,
"11.ida","C2371",62,,
"11.ida","C2372",63,,
"11.ida","C2373",64,,
"11.ida","C2374",65,,
"11.ida","C2375",66,,
"11.ida","C2376",67,,
"11.ida","C2377",68,,
"11.ida","C2381",69,,
"11.ida","C2382",70,,
"11.ida","C2386",71,,
"11.ida","C2389",72,,
"11.ida","C2391",73,,
"11.ida","C2397",74,,
"11.ida","C2398",75,,
"11.ida","C2399",76,,
"11.ida","C2404",77,,
"11.ida","C2419",78,,
"11.ida","C2421",79,,
"11.ida","C2424",80,,
"11.ida","C2425",81,,
"11.ida","C2426",82,,
"11.ida","C2580",83,,
"11.ida","C2595",84,,
"11.ida","C2596",85,,
"11.ida","C2597",86,,
"11.ida","C2600",87,,
