trip_id,stop_id,stop_sequence
10.ida,906,1
10.ida,908,2
10.ida,1197,3
10.ida,1198,4
10.ida,1199,5
10.ida,1200,6
10.ida,1206,7
10.ida,1207,8
10.ida,1212,9
10.ida,1217,10
10.ida,1222,11
10.ida,1223,12
10.ida,1232,13
10.ida,1245,14
10.ida,1246,15
10.ida,1250,16
10.ida,1251,17
10.ida,1253,18
10.ida,1258,19
10.ida,1261,20
10.ida,1266,21
10.ida,1267,22
10.ida,1270,23
10.ida,1274,24
10.ida,1275,25
10.ida,1276,26
10.ida,1277,27
10.ida,1278,28
10.ida,1279,29
10.ida,1280,30
10.ida,1281,31
10.ida,1282,32
10.ida,1283,33
10.ida,1415,34
10.ida,1420,35
10.ida,1423,36
10.ida,1424,37
10.ida,1533,38
10.ida,1537,39
10.ida,1538,40
10.ida,1544,41
10.ida,1548,42
10.ida,1552,43
10.ida,1554,44
10.ida,1858,45
10.ida,1863,46
10.ida,1868,47
10.ida,1873,48
10.ida,1875,49
10.ida,1879,50
10.ida,1884,51
10.ida,2034,52
10.ida,2036,53
10.ida,2050,54
10.ida,2059,55
10.ida,2061,56
10.ida,2280,57
10.ida,2287,58
10.ida,2308,59
10.ida,2324,60
10.ida,2507,61
10.ida,2509,62
10.ida,2512,63
10.ida,2513,64
10.ida,2514,65
10.ida,2527,66
10.ida,2531,67
10.ida,2542,68
10.ida,2543,69
10.ida,2731,70
10.ida,2894,71
10.ida,2895,72
10.ida,2900,73
10.ida,2903,74
10.ida,2904,75
10.ida,2912,76
10.ida,2913,77
10.ida,2915,78
10.ida,2919,79
10.ida,2946,80
10.ida,2947,81
10.ida,2948,82
10.ida,2949,83
10.ida,2950,84
10.ida,2953,85
10.ida,2959,86
10.ida,2984,87
10.reg,1014,1
10.reg,1021,2
10.reg,1024,3
10.reg,1293,4
10.reg,1294,5
10.reg,1295,6
10.reg,1296,7
10.reg,1297,8
10.reg,1298,9
10.reg,1299,10
10.reg,1300,11
10.reg,1304,12
10.reg,1305,13
10.reg,1311,14
10.reg,1312,15
10.reg,1313,16
10.reg,1316,17
10.reg,1317,18
10.reg,1318,19
10.reg,1320,20
10.reg,1324,21
10.reg,1327,22
10.reg,1329,23
10.reg,1333,24
10.reg,1334,25
10.reg,1340,26
10.reg,1341,27
10.reg,1351,28
