"stop_id","stop_name","stop_calle","stop_numero","stop_entre","stop_lat","stop_lon"
4,"C0004","Julio de Vedia",3837,"Jose Maria La Hora y Macacha Guemes",-31.36509,-64.13816
5,"C0005","Julio de Vedia",3741,"Perez de Denis y Jose Agustin Donado",-31.36653,-64.13818
6,"C0006","Julio de Vedia",3631,"Eustaquio Diaz Velez y Soriano de Areval",-31.36797,-64.13816
7,"C0007","Arevalo",2552,"Heroes de Vilcapugio y Heroinas de Mayou",-31.36847,-64.1359
8,"C0008","Arevalo",2682,"Heroinas de Ayouma y Chachapoyas",-31.36848,-64.13358
9,"C0009","Chachapoyas",3550,"Bv Chorroarin doble mano",-31.36906,-64.13306
10,"C0010","Chachapoyas",3401,"27 de Febrero y Fernando Abramo",-31.37101,-64.13308
11,"C0011","Chachapoyas",3067,"Julian Laguna y 3 de Junio",-31.37247,-64.13308
12,"C0012","Chachapoyas",3111,"Jose Mellian y Arredondo",-31.37387,-64.1331
13,"C0013","Chachapoyas",3000,"Rauch y Balbastro",-31.37532,-64.13313
14,"C0014","Rauch",2792,"Maestro Castro y Pje S/Nombre",-31.37572,-64.13165
15,"C0015","Rauch",2894,"Castro y Calle sin Nombre",-31.3757,-64.1302
16,"C0016","Mesa y Castro",2897,"Capdevila y Rauch",-31.37632,-64.1297
17,"C0017","Montemayor",2767,"Capdevila y Rafael de Palencia",-31.37783,-64.1318
18,"C0018","Montemayor",2611,"Rafael de Palencia y Vilchez y Montoya",-31.37925,-64.13178
19,"C0019","Montemayor",2365,"Tadeo Davila y Jose de Medeiros",-31.38218,-64.1318
20,"C0020","Montemayor",2225,"Medeiros y Archondo",-31.38309,-64.13182
21,"C0021","Montemayor",2015,"Oca¤a y Isasmendi",-31.38508,-64.1318
22,"C0022","Isasmendi",2900,"Alsina y Altolaguirre",-31.38543,-64.13383
23,"C0023","Altolaguirre",1718,"Gil de Taboada y Ramon de Carassa",-31.38805,-64.1341
24,"C0024","Malvinas",2613,"Edison y Wilson",-31.38936,-64.13602
26,"C0026","Malvinas",2155,"Jose de Quevedo y Herman Huberman",-31.39104,-64.14334
29,"C0029","Malvinas",1445,"Santiso y Moscoso y Juan Tissera",-31.39325,-64.15202
33,"C0033","Polonia",1216,"Cochabamba y Charcas",-31.39878,-64.15663
34,"C0034","Polonia",1041,"Urtubey y Garay",-31.40063,-64.15581
36,"C0036","Armenia",2169,"Garibaldi y Eufrasio Loza",-31.40337,-64.15718
37,"C0037","Libertad",2069,"Eufrasio Loza y Manuel Vergara",-31.40555,-64.15754
40,"C0040","Viamonte",630,"Libertad y Oncativo",-31.4089,-64.16646
44,"C0044","Sarmiento",331,"Pje Scabuzzo y Maipu",-31.41146,-64.17708
47,"C0047","Gral. Paz",331,"La Rioja y Santa Rosa",-31.41145,-64.18515
49,"C0049","Velez Sarsfield",360,"Caseros y Duarte Quiros",-31.41732,-64.18757
50,"C0050","Velez Sarsfield",660,"San Luis y Laprida",-31.42289,-64.18997
51,"C0051","Achaval Rodriguez",333,"Belgrano y M.T. de Alvear",-31.4241,-64.1924
53,"C0053","M.T. de Alvear",1070,"Angelo de Peredo y Domingo Funes",-31.4265,-64.19467
54,"C0054","Julio Roca",418,"Brasil y Simon Bolivar",-31.42723,-64.19542
56,"C0056","Julio Roca",672,"Corro y Artigas",-31.42878,-64.20066
57,"C0057","Julio Roca",886,"Clemente Sarraga y Paso de los Andes",-31.4286,-64.20286
58,"C0058","Julio Roca",1091,"Achaval y Misiones",-31.42779,-64.207
59,"C0059","Fuerza Aerea",1300,"Rio Negro y Rotonda del Ala",-31.429,-64.21121
60,"C0060","Fuerza Aerea",1871,"Sol de Mayo y Sgto. Romero",-31.43038,-64.21456
63,"C0063","Fuerza Aerea",2544,"Olegario Correa y Jose de Echeverria",-31.43083,-64.22171
64,"C0064","Fuerza Aerea",2884,"Espora y Leon Pinelo",-31.43125,-64.22698
