LONGITUDE,LATITUDE,LABEL,LAYER,SYMBOL,KML_FOLDER,open
64ø 16' 2.8355" W,31ø 24' 13.6073" S,L40 (PP),Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_bus_png",LINEA 40,
64ø 15' 57.8382" W,31ø 24' 15.3128" S,Calle Publica en Robles De Horizonte,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",PARADAS B 40 Ida,1
64ø 15' 54.3290" W,31ø 24' 7.4476" S,D Argentinos y Mendez,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",PARADAS B 40 Ida,
64ø 16' 1.2657" W,31ø 24' 6.1165" S,Docente Argentinos y Tejada,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",PARADAS B 40 Ida,
64ø 16' 6.9781" W,31ø 24' 4.6537" S,Docente Argentinos y R Libertadora,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",PARADAS B 40 Ida,
64ø 15' 56.4415" W,31ø 23' 43.0257" S,Av E Argentino y D Bosco,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",PARADAS B 40 Ida,
64ø 15' 44.6645" W,31ø 23' 48.4097" S,D Bosco y Cordero,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",PARADAS B 40 Ida,
64ø 15' 20.9778" W,31ø 23' 59.5463" S,D Bosco y Reconquista,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",PARADAS B 40 Ida,
64ø 15' 2.0714" W,31ø 24' 8.5388" S,D Bosco y Correa,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",PARADAS B 40 Ida,
64ø 14' 44.1150" W,31ø 24' 17.2822" S,D Bosco y S Grande,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",PARADAS B 40 Ida,
64ø 14' 30.6915" W,31ø 24' 22.8638" S,D Bosco y Davila,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",PARADAS B 40 Ida,
64ø 14' 17.2127" W,31ø 24' 26.2584" S,D Bosco y De Mauro,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",PARADAS B 40 Ida,
64ø 14' 7.8771" W,31ø 24' 28.2507" S,D Bosco y R Arias,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",PARADAS B 40 Ida,
64ø 13' 55.7907" W,31ø 24' 28.1139" S,D Bosco y D Cala,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",PARADAS B 40 Ida,
