"stop_id","stop_calle","stop_esquina","stop_lon","stop_lat","coord"
8214,"Colonia Impira 100",,-64.252001325,-31.4639865437,"-64.25152535541072,-31.46358599501468,0"
8215,"Colonia Impira S/N","Mz. 5 Lote 7",-64.2480991412,-31.4641192254,"-64.24812499744643,-31.4636487561979,0"
8216,"Colonia Impira S/N","Mz. 1 Lote 18 (PORTON Renault)",-64.2426542163,-31.4640982756,"-64.24257401223512,-31.46358911941699,0"
8217,"2 De Septiembre 4332","Entre Colonia Impira Y Rosario Del Dorado",-64.2387409695,-31.465053101,"-64.23848469999635,-31.4646075196849,0"
8218,"Rosario Del Dorado 2287","Entre Tilquincho Y Posta De Chañar",-64.2366013354,-31.465705459,"-64.23618211377455,-31.46527197041275,0"
8219,"Realico 2400","Esq. Cañada De Luque",-64.2348776808,-31.4667224643,"-64.23445302127786,-31.46617996982419,0"
8220,"Relalico 2270","Entre Tajamar Y Casado",-64.2325389357,-31.4685242635,"-64.23233352657778,-31.46801791827006,0"
8221,"Av Casado 1857","Esq. Michigan",-64.2304292832,-31.468702596,"-64.23067409729815,-31.46821512918104,0"
8222,"Av Casado 1715","Esq. Nevada",-64.2283167524,-31.4675024801,"-64.22845065519148,-31.46634626814713,0"
8223,"Av Casado 1629","Esq. Lago Argentino",-64.2267328811,-31.4659407072,"-64.22636358379963,-31.46465862115444,0"
8224,"Lago Argentino 1950","Entre Rio Turbio Y Zonda",-64.2254933333,-31.4664148395,"-64.22490323834755,-31.46559302103035,0"
8225,"Av Armada Argentina 1650","Entre Lago Argentino Y Penitente (CPC)",-64.2250080842,-31.4677863624,"-64.22427380566842,-31.46701633913838,0"
8226,"Av Armada Argentina 1830","Esq. Baltimore",-64.2265279201,-31.4698380408,"-64.22733401428972,-31.46949804272575,0"
8227,"Av Armada Argentina 2120","Esq. Av. Renault Argentina",-64.231060213,-31.4738913437,"-64.23125410271899,-31.47271687520917,0"
8228,"Jose Benito Cottolengo 1710","Esq. Yocsina",-64.2326625954,-31.4775788723,"-64.23403067224724,-31.47676141723467,0"
8229,"Cleveland 5700","Esq. Isla Verde",-64.2320547329,-31.4797322295,"-64.23308962919028,-31.47869404201384,0"
8230,"Cajamarca 1915","Esq. Altos Del Chipion",-64.2314777259,-31.480361568,"-64.23179882086049,-31.47970242473964,0"
8231,"Cajamarca 1815","Esq. Alto Del Tala",-64.2302249533,-31.4804163099,"-64.22976090220524,-31.47969941267355,0"
8232,"Cajamarca 1627","Esq. Cumbre Del Perchel",-64.2281017845,-31.4803242476,"-64.22734781555147,-31.47968253460691,0"
8233,"Cajamarca 1511","Esq. Congreso",-64.22660345,-31.4804259268,"-64.22661566117934,-31.47968095994085,0"
