stop_id,30.ida,30.reg,31.ida ,31.reg,32.ida,32.reg,33.ida,33.reg,34.ida,34.reg,35.ida,35.reg,36.ida,36.reg,b30.ida,b30.reg,d30.ida,d30.reg,80.ida,80.reg,81.ida,81.reg,82.ida,82.reg,83.ida,83.reg,84.ida,84.reg,b80.ida,b80.reg,d80.ida,d80.reg
8214,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,
8215,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,
8216,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,
8217,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,
8218,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,
8219,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,
8220,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,
8221,X,,X,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,
8222,X,,X,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,
8223,X,,X,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,
8224,X,,X,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,
8225,,,,,,,,,,X,,,,,X,,X,,,,,,,,,,,,,,,
8226,,,,,,,,,,X,,,,,X,,X,,,,,,,,,,,,,,,
8227,,,,,,,,,,X,,,,,X,,X,,,,,,,,,,,,,,,
8228,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,
8229,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,
8230,,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,
8231,,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,
8232,,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,
8233,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,
8234,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,
8235,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,
8236,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,
7504,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,
7506,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,
7507,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,
7508,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,
7509,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,
7510,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,
7511,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,
7512,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,
7513,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,
7514,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,
7515,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,
7576,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,
7577,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,
7578,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,
7579,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,
7580,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,
7581,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,
7582,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,
7583,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,
7584,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,
7585,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,
7586,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,
7587,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,
7588,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,
7589,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,
7590,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,
7591,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,
7592,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,
7557,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
7558,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
7559,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
7560,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
7561,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
7562,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
7563,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
7564,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
7565,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
7566,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
7567,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
7568,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
7569,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
7570,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
7571,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
7572,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
7573,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
7491,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,
7492,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,
7493,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,
