trip_id,stop_id,stop_sequence
36.ida,7497,1
36.ida,7498,2
36.ida,7499,3
36.ida,7500,4
36.ida,7501,5
36.ida,7502,6
36.ida,7503,7
36.ida,8297,8
36.ida,8298,9
36.ida,8299,10
36.ida,8300,11
36.ida,7531,12
36.ida,7532,13
36.ida,7533,14
36.ida,7534,15
36.ida,7535,16
36.ida,8312,17
36.ida,8313,18
36.ida,8314,19
36.ida,8315,20
36.ida,8316,21
36.ida,8317,22
36.ida,8318,23
36.ida,8321,24
36.ida,8322,25
36.ida,8323,26
36.ida,8324,27
36.ida,8325,28
36.ida,8326,29
36.ida,8327,30
36.ida,8345,31
36.ida,8346,32
36.ida,7525,33
36.ida,7526,34
36.ida,7527,35
36.ida,7528,36
36.ida,7529,37
36.ida,7530,38
36.ida,7653,39
36.ida,7654,40
36.ida,8497,41
36.ida,8498,42
36.ida,8572,43
36.ida,7308,44
36.ida,8573,45
36.ida,7309,46
36.ida,8574,47
36.ida,7900,48
36.ida,7901,49
36.ida,7902,50
36.ida,8575,51
36.ida,8576,52
36.ida,8577,53
36.ida,8578,54
36.ida,8579,55
36.ida,8580,56
36.ida,8594,57
36.ida,8595,58
36.ida,8596,59
36.ida,8597,60
36.ida,8598,61
36.ida,8599,62
36.ida,8600,63
36.ida,8601,64
36.ida,8602,65
36.ida,8603,66
d30.ida,8225,1
d30.ida,8226,2
d30.ida,8227,3
d30.ida,7080,4
d30.ida,7081,5
d30.ida,7082,6
d30.ida,7083,7
d30.ida,7084,8
d30.ida,7085,9
d30.ida,7086,10
d30.ida,8255,11
d30.ida,8256,12
d30.ida,8257,13
d30.ida,8258,14
d30.ida,8259,15
d30.ida,8260,16
d30.ida,8261,17
d30.ida,8262,18
d30.ida,8263,19
d30.ida,8264,20
d30.ida,8265,21
d30.ida,8266,22
d30.ida,8267,23
d30.ida,8268,24
d30.ida,8269,25
d30.ida,8270,26
d30.ida,8271,27
d30.ida,8272,28
d30.ida,8273,29
d30.ida,8274,30
d30.ida,8275,31
d30.ida,8276,32
d30.ida,8277,33
d30.ida,8278,34
d30.ida,8279,35
d30.ida,8280,36
d30.ida,7112,37
d30.ida,7113,38
d30.ida,7114,39
d30.ida,7115,40
d30.ida,7360,41
d30.ida,7361,42
d30.ida,7362,43
d30.ida,7475,44
d30.ida,7615,45
d30.ida,7616,46
d30.ida,7617,47
d30.ida,7618,48
d30.ida,7181,49
d30.ida,7182,50
d30.ida,7873,51
d30.ida,7874,52
d30.ida,8281,53
d30.ida,8282,54
d30.ida,8283,55
d30.ida,8209,56
d30.ida,8284,57
d30.ida,8211,58
d30.ida,8285,59
d30.ida,8286,60
d30.ida,8287,61
d30.ida,8288,62
d30.ida,8290,63
d30.ida,8291,64
d30.ida,8292,65
d30.ida,8293,66
82.reg,7115,1
82.reg,8551,2
82.reg,7977,3
82.reg,8588,4
82.reg,7044,5
82.reg,8681,6
82.reg,8683,7
82.reg,8684,8
82.reg,8685,9
82.reg,8686,10
82.reg,8687,11
82.reg,8688,12
