stop_id,stop_lat,stop_lon,stop_calle,stop_esquina
8214,-31.46358599501468,-64.25152535541072,Colonia Impira 100,
8215,-31.4636487561979,-64.24812499744642,Colonia Impira S/N,Mz. 5 Lote 7
8216,-31.46358911941699,-64.24257401223512,Colonia Impira S/N,Mz. 1 Lote 18 (Porton Renault)
8217,-31.4646075196849,-64.23848469999635,2 De Septiembre 4332,Entre Colonia Impira Y Rosario Del Dorado
8218,-31.46527197041275,-64.23618211377455,Rosario Del Dorado 2287,Entre Tilquincho Y Posta De Chañar
8219,-31.46617996982419,-64.23445302127786,Realico 2400,Esq. Cañada De Luque
8220,-31.46801791827006,-64.23233352657778,Relalico 2270,Entre Tajamar Y Casado
8221,-31.46821512918104,-64.23067409729815,Av Casado 1857,Esq. Michigan
8222,-31.46634626814713,-64.22845065519148,Av Casado 1715,Esq. Nevada
8223,-31.46465862115444,-64.22636358379962,Av Casado 1629,Esq. Lago Argentino
8224,-31.46559302103035,-64.22490323834755,Lago Argentino 1950,Entre Rio Turbio Y Zonda
8225,-31.46701633913838,-64.22427380566842,Av Armada Argentina 1650,Entre Lago Argentino Y Penitente (Cpc)
8226,-31.46949804272575,-64.22733401428972,Av Armada Argentina 1830,Esq. Baltimore
8227,-31.47271687520917,-64.23125410271899,Av Armada Argentina 2120,Esq. Av. Renault Argentina
8228,-31.47676141723467,-64.23403067224724,Jose Benito Cottolengo 1710,Esq. Yocsina
8229,-31.47869404201384,-64.23308962919027,Cleveland 5700,Esq. Isla Verde
8230,-31.47970242473964,-64.23179882086049,Cajamarca 1915,Esq. Altos Del Chipion
8231,-31.47969941267355,-64.22976090220524,Cajamarca 1815,Esq. Alto Del Tala
8232,-31.47968253460691,-64.22734781555147,Cajamarca 1627,Esq. Cumbre Del Perchel
8233,-31.47968095994085,-64.22661566117934,Cajamarca 1511,Esq. Congreso
8234,-31.48005331329075,-64.22443062776813,Cajamarca 1385,Esq. Rio Negro
8235,-31.47905343207662,-64.2239494241644,Rio Negro 5700,Esq. Mercedes
8236,-31.47653906965922,-64.22323983396889,Rio Negro 5500,Esq. Gobernacion
7504,-31.47553233647946,-64.2210439477898,Av. De Mayo 1211,Esq Neiva Regreso
7506,-31.47670110017544,-64.21515021649125,Av. De Mayo 811,Esq Pilcomayo
7507,-31.47728100090021,-64.2122815902414,Av. De Mayo 633,Esq Arani
7508,-31.47931694084686,-64.21263887028906,La Falda 5576,Esq La Falda
7509,-31.48144958055936,-64.21308655307709,La Falda 5820,Esq De Mauro
7510,-31.48331619134336,-64.21340385726307,La Falda 5886,Esq Icho Cruz
7511,-31.48356406891895,-64.21110034774313,Laboulaye,Esq Laboulaye
7512,-31.48360379076605,-64.2094886122938,Laboulaye 337,Esq Virgen De Fatima
7513,-31.48362839369185,-64.20815052101719,Laboulaye 275,Esq Thea
7514,-31.4836590378271,-64.20630063006956,Laboulaye 113,Esq Ischilin
7515,-31.48368860119305,-64.20499805900884,Laboulaye,Esq Canals
7576,-31.48517185914181,-64.20456000219619,Av. Velez Sarsfield 6200,Esq Bower
7577,-31.48866229074787,-64.20646071734213,Av. Velez Sarsfield 6470,Estacion Ypf
7578,-31.49958093293279,-64.2111119608714,Hogar Iii Principal Esq Publica,"Manzana ""9"""
7579,-31.49957232492707,-64.20997695106887,Hogar Iii Principal Esq Publica,"Manzana ""19"""
7580,-31.49955420371006,-64.2088980710037,Hogar Iii Principal Esq Publica,"Manzana ""28"""
7581,-31.49952936236718,-64.2072630519943,Hogar Iii Principal Esq Publica,"Manzana ""38"""
7582,-31.49950868956166,-64.2059581221613,Hogar Iii Principal Esq Publica,"Manzana ""44"""
7583,-31.49949512593054,-64.20459321145273,Hogar Iii Principal Esq Publica,"Manzana ""48"""
7584,-31.49952514265542,-64.20329966043307,Hogar Iii Principal Esq Publica,"Manzana ""56"""
7585,-31.49948378973811,-64.20135218440977,Hogar Iii Principal Esq Publica,"Manzana ""63"""
7586,-31.49951385339858,-64.19891419289988,Villa Angelelli  I Principal  S/N,Frente Upas (Dispensario) N 15
7587,-31.4995605583869,-64.19657424793562,Villa Angelelli  I  Principal Esq Publica,"Manzana ""2"""
7588,-31.49953185527215,-64.19428417096886,Villa Angelelli  I  Principal Esq Publica,"Manzana ""4"""
7589,-31.49952556836165,-64.19199369199289,Villa Angelelli  I  Principal Esq Publica,"Manzana ""5"""
7590,-31.50010088133858,-64.19058788185548,Villa Angelelli  I  Publica Esq Publica,Frente Arco De Entrada
7591,-31.50508657237282,-64.19208994612613,Villa Angelelli  Ii  Principal Esq Publica,Frente Arco De Entrada
7592,-31.50512198297288,-64.19397209150635,Villa Angelelli  Ii  Principal Esq Publica,Plaza Las Gemelas--Destacamento Policial
7557,-31.50520383981483,-64.19340109680174,Principal  Villa Angelelli Ii Esq Publica,Plaza Las Gemelas
7558,-31.50514521032092,-64.19082559294323,Principal Esq Caminno San Antonio,Frente Arco De Entrada
7559,-31.50022062504758,-64.19096694363462,Villa Angelelli  I Publica Esq Publica,Frente Tratamientos Cloacales
7560,-31.49941716385385,-64.19248182020132,Principal Esq Publica,"Manzana ""5"""
7561,-31.4993872653616,-64.19425315306115,Principal Esq Publica,"Manzana ""4"""
7562,-31.49942024928471,-64.1958888813776,Principal Esq Publica,"Manzana ""2"""
7563,-31.49941800280261,-64.19871680772658,Principal S/N,Frente Upas (Dispensario) N 15
7564,-31.49937932988922,-64.20129381589793,Hogar Iii Principal Esq Publica,"Manzana ""63"""
7565,-31.49942243693999,-64.20302866630223,Hogar Iii Principal Esq Publica,"Manzana ""57"""
7566,-31.4994343682054,-64.2043430834803,Hogar Iii Principal Esq Publica,"Manazana ""51"""
7567,-31.49943812288448,-64.20567463044243,Hogar Iii Principal Esq Publica,"Manzana "" 45"""
7568,-31.49944588576244,-64.20698339680348,Hogar Iii Principal Esq Publica,"Manzana ""39"""
7569,-31.4994771993513,-64.20894955257734,Hogar Iii Principal Esq Publica,"Manzana ""29"""
7570,-31.49952054703246,-64.21014204030163,Hogar Iii Principal Esq Publica,"Manzana ""18"""
7571,-31.49951180688678,-64.21116238838252,Hogar Iii Principal Esq Publica,"Manzana ""08"""
7572,-31.48790492896121,-64.20571954938964,Av. Velez Sarsfield 6400,Frente Estacion Ypf
7573,-31.48550669510695,-64.2046257145755,Av. Velez Sasrfield 6200,Esq Abdel Taier
7491,-31.48362537322737,-64.20446629624288,Laboulaye 16,Esq Bower
7492,-31.48357338640041,-64.20595482538815,Laboulaye,Esq Canals 
7493,-31.48355217349925,-64.2078840642808,Laboulaye 238,Esq Schilin 
7494,-31.48352038543246,-64.20913939125444,Laboulaye 324,Esq Thea
7495,-31.48349838382271,-64.21101395573606,Laboulaye 420,Esq Virgen De Fatima  Fte  Plaza Comercial
7496,-31.48344135046764,-64.21320684228188,Laboulaye 548,Esq La Falda
7497,-31.48143023738665,-64.21308264638213,La Falda 5803,Esq Icho Cruz
7498,-31.47918144520211,-64.21250865895352,La Falda 5559,Esq Gobernacion 
7499,-31.47823182049753,-64.2136060494368,Gobernacion 680,Esq Calamuchita
7500,-31.47779430995965,-64.21585272507254,Gobernacion 934,Esq Barranquilla
7501,-31.47735478431327,-64.21806369816275,Gobernacion 994,Esq Pilcimayo 
7502,-31.47679877545326,-64.2208386419463,Gobernacion 1196,Esq Neiva
7503,-31.47633970328367,-64.22315649651327,Gobernacion,Esq Rio Negro
8237,-31.47866843822393,-64.22397791009831,Rio Negro 5698,Esq. Mercedes
8238,-31.47972303035221,-64.22577965353996,Cajamarca 1476,Entre Forestieri Y Congreso
7633,-31.47959069194737,-64.22939277679447,Cajamarca 1700,Alto Del Tala
7634,-31.47958639732062,-64.23141354623014,Cajamarca 1914,Altos Del Chipion
8239,-31.47926130898735,-64.23304362890897,Cleveland 5725,Entre Cajamarca E Isla Verde
8240,-31.47652130198003,-64.23421838463739,Jose Benito Cottolengo 1713,Esq. Rio Colorado
8241,-31.47302634519009,-64.23107220298178,Av Armada Argentina 2131, Esq. Bogota Regreso
8242,-31.47121825936711,-64.2289264808991,Av Armada Argentina 2000,Esq. Chuña Huasi Regreso
8243,-31.46851149141984,-64.2257112848029,Av Armada Argentina 1889,Esq. Cumbre Del Perchel Regreso
8244,-31.46571923180859,-64.22463534922818,Lago Argentino 1900,Entre Av. Armada Argentina Y Rio Deseado (Cpc)
8245,-31.46458358086661,-64.2260090540084,Esq. Av. Casado,Esq. Av. Casado
8246,-31.46609335366438,-64.22848615995382,Esq. Nosikoski,Esq. Nosikoski
8247,-31.46733621907426,-64.22987252836323,Esq. Brasich,Esq. Brasich
