stop_id, stop_id
2875,2876
2875,2877
2876,2877
2867,2888
8231,7648
3370,3371
3372,3373
3200,3212
3201,3211
3202,3210
3129,3134
341,342
8979,8758
8123,4389
7182,4117
7868,4164
3397,398
3393,3394
1126,1129
5653,8993
3396,3399
4114,9020
813,3153
4027,7185
814,3152
815,3151
816,3150
3395,3400
1118,1122
3123,3140
3122,3141
1068,1526
3121,3142
3203,215
3119,3143
2424,2657
507,508
507,509
508,509
7172,1681
3204,3214
3130,3145
3132,3147
3131,3146
3205,3213
764,2511
7716,4918
3420,3431
3410,3441
3421,3430
3411,3440
3412,3439
3415,3436
3419,3432
3414,3437
3413,3438
3416,3435
3422,3429
3417,3434
3418,3433
4097,7974
3423,3428
3424,3427
3425,3426
5589,8074
3450,3481
3451,3480
7450,5595
3452,3479
3453,3478
3454,3477
3455,3476
3456,3475
3457,3474
3458,3473
3459,3472
3460,3471
3461,3470
1720,2601
3462,3469
3464,3467
3304,3365
3303,3366
3463,3468
3305,3364
3302,3367
3300,3369
3301,3368
1613,1614
3306,3363
3465,3466
3307,3362
3308,3361
1593,1594
3309,3360
2791,2792
2791,2793
2792,2793
2589,2590
3310,3359
3311,3358
3312,3357
3319,3350
3318,3351
3317,3352
2133,2134
2133,135
2134,135
3313,3356
3314,3355
3315,354
3316,3353
