"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","shape_id"
"10",,"10.ida","Lasalle",,"0","10.ida"
"10",,"10.reg","Ituzaingó",,"1","10.reg"
"11",,"11.ida","Empalme",,"0","11.ida"
"11",,"11.reg","Villa Allende Parque",,"1","11.reg"
"12",,"12.ida","16 de Noviembre",,"0","12.ida"
"12",,"12.reg","Ituzaingó",,"1","12.reg"
"13",,"13.ida","Centro de Almaceneros",,"0","13.ida"
"13",,"13.reg","Ciudad Universitaria",,"1","13.reg"
"14",,"14.ida","Ampliación 1 de Mayo",,"0","14.ida"
"14",,"14.reg","Policial",,"1","14.reg"
"15",,"15.ida","Polo Sanitario",,"0","15.ida"
"15",,"15.reg","Villa Allende Parque",,"1","15.reg"
"16",,"16.ida","25 de Mayo",,"0","16.ida"
"16",,"16.reg","Ciudad Universitaria",,"1","16.reg"
"17",,"17.ida","Ituzaingó",,"0","17.ida"
"17",,"17.reg","16 de Noviembre",,"1","17.reg"
"18",,"18.ida","Ciudad Universitaria",,"0","18.ida"
"18",,"18.reg","Saldán",,"1","18.reg"
"19",,"19.ida","Alto Hermoso",,"0","19.ida"
"19",,"19.reg","Ciudad Universitaria",,"1","19.reg"
"20",,"20.ida","Santa Cecilia",,"0","20.ida"
"20",,"20.reg","Cerveceros",,"1","20.reg"
"21",,"21.ida","Los Boulevares",,"0","21.ida"
"21",,"21.reg","Cno. San Carlos Km 4.5",,"1","21.reg"
"22",,"22.ida","Marqués de Sobremonte",,"0","22.ida"
"22",,"22.reg","Artigas",,"1","22.reg"
"23",,"23.ida","Ampliación San Pablo",,"0","23.ida"
"23",,"23.reg","Ampliación Poeta Lugones",,"1","23.reg"
"24",,"24.ida","Inaudi",,"0","24.ida"
"24",,"24.reg","Marqués de Sobremonte",,"1","24.reg"
"25",,"25.ida","Aeropuerto",,"0","25.ida"
"25",,"25.reg","Cno. San Carlos Km 4.5",,"1","25.reg"
"26",,"26.ida","Los Boulevares",,"0","26.ida"
"26",,"26.reg","Artigas",,"1","26.reg"
"27",,"27.ida","Sol Naciente",,"0","27.ida"
"27",,"27.reg","Ampliación Cerveceros",,"1","27.reg"
"28",,"28.ida","Libertad III",,"0","28.ida"
"28",,"28.reg","Marqués de Sobremonte",,"1","28.reg"
"29",,"29.ida","Rivadavia",,"0","29.ida"
"29",,"29.reg","Bower",,"1","29.reg"
"30",,"30.ida","J.Luis Cabrera",,"0","30.ida"
"30",,"30.reg","Parque Futura",,"1","30.reg"
"31",,"31.ida","Polo Sanitario",,"0","31.ida"
"31",,"31.reg","Santa Isabel 1 Secc.",,"1","31.reg"
"32",,"32.ida","Villa Ballester",,"0","32.ida"
"32",,"32.reg","Santa Isabel 2 Secc.",,"1","32.reg"
"33",,"33.ida","Área Central",,"0","33.ida"
"33",,"33.reg","Santa Isabel 1 Secc.",,"1","33.reg"
"34",,"34.ida","Área Central",,"0","34.ida"
"34",,"34.reg","Universidad Cátolica",,"1","34.reg"
"35",,"35.ida","Los Paraísos",,"0","35.ida"
"35",,"35.reg","Cabildo",,"1","35.reg"
"36",,"36.ida","J.Newbery",,"0","36.ida"
"36",,"36.reg","Villa Libertador",,"1","36.reg"
"40",,"40.ida","Pque. Liceo",,"0","40.ida"
"40",,"40.reg","20 de Junio",,"1","40.reg"
"41",,"41.ida","Ciudad Universitaria",,"0","41.ida"
"41",,"41.reg","Guiñazú",,"1","41.reg"
