shape_pt_lat,shape_id,shape_pt_lon,shape_pt_sequence
-31.3646646,TA.ida,-64.1869057,1
-31.364664,TA.ida,-64.1867968,2
-31.3646571,TA.ida,-64.185413,3
-31.3646556,TA.ida,-64.1851311,4
-31.3646493,TA.ida,-64.1838769,5
-31.3651954,TA.ida,-64.1838766,6
-31.3657628,TA.ida,-64.1838763,7
-31.3660076,TA.ida,-64.1838738,8
-31.3661683,TA.ida,-64.1838732,9
-31.3662995,TA.ida,-64.183876,10
-31.3664682,TA.ida,-64.1838759,11
-31.3668515,TA.ida,-64.1838757,12
-31.3674113,TA.ida,-64.1838753,13
-31.368063,TA.ida,-64.183875,14
-31.3684221,TA.ida,-64.1838754,15
-31.3685488,TA.ida,-64.1838758,16
-31.3686457,TA.ida,-64.1838746,17
-31.3691977,TA.ida,-64.1838743,18
-31.3697574,TA.ida,-64.183874,19
-31.3699422,TA.ida,-64.1838739,20
-31.3703172,TA.ida,-64.1838737,21
-31.3710532,TA.ida,-64.1838733,22
-31.3713753,TA.ida,-64.1838731,23
-31.3716951,TA.ida,-64.183875,24
-31.3717817,TA.ida,-64.1838729,25
-31.3721714,TA.ida,-64.1838754,26
-31.3724436,TA.ida,-64.1838725,27
-31.3730928,TA.ida,-64.1838721,28
-31.3737292,TA.ida,-64.1838717,29
-31.3741105,TA.ida,-64.1838713,30
-31.3743895,TA.ida,-64.1838714,31
-31.3746664,TA.ida,-64.1838731,32
-31.3748297,TA.ida,-64.1838717,33
-31.3750326,TA.ida,-64.183871,34
-31.3754236,TA.ida,-64.1838708,35
-31.3758738,TA.ida,-64.1838705,36
-31.3769846,TA.ida,-64.1838699,37
-31.3776295,TA.ida,-64.1838561,38
-31.3779318,TA.ida,-64.1838534,39
-31.3781577,TA.ida,-64.1838499,40
-31.3787262,TA.ida,-64.1838402,41
-31.3787329,TA.ida,-64.1852169,42
-31.3791775,TA.ida,-64.1852208,43
-31.3793153,TA.ida,-64.1852151,44
-31.3797551,TA.ida,-64.1852095,45
-31.3805144,TA.ida,-64.1852114,46
-31.3814341,TA.ida,-64.1852093,47
-31.3816796,TA.ida,-64.1852079,48
-31.3825573,TA.ida,-64.1852132,49
-31.38285,TA.ida,-64.1852043,50
-31.3840169,TA.ida,-64.1852007,51
-31.3845998,TA.ida,-64.1851909,52
-31.3849773,TA.ida,-64.1852007,53
-31.3852039,TA.ida,-64.185197,54
-31.3863637,TA.ida,-64.1851935,55
-31.3875592,TA.ida,-64.1851898,56
-31.3879135,TA.ida,-64.1851937,57
-31.3882685,TA.ida,-64.1851972,58
-31.3885475,TA.ida,-64.185203,59
-31.3886936,TA.ida,-64.1851958,60
-31.3898745,TA.ida,-64.1851708,61
-31.3901955,TA.ida,-64.185164,62
-31.390287,TA.ida,-64.1849851,63
-31.3908852,TA.ida,-64.1852365,64
-31.3916009,TA.ida,-64.1855535,65
-31.3918102,TA.ida,-64.1856344,66
-31.391996,TA.ida,-64.1857035,67
-31.3931074,TA.ida,-64.1861708,68
-31.3941191,TA.ida,-64.1865868,69
-31.3946027,TA.ida,-64.1867654,70
-31.3952873,TA.ida,-64.18707,71
-31.3963899,TA.ida,-64.1875045,72
-31.3975257,TA.ida,-64.1879856,73
-31.3986424,TA.ida,-64.1884586,74
-31.3989053,TA.ida,-64.1876221,75
-31.3990437,TA.ida,-64.1871597,76
-31.3994372,TA.ida,-64.1858857,77
-31.3996269,TA.ida,-64.1852716,78
-31.3998208,TA.ida,-64.1846441,79
-31.4001098,TA.ida,-64.1836625,80
-31.4002236,TA.ida,-64.1833403,81
-31.4006287,TA.ida,-64.1820291,82
-31.4007459,TA.ida,-64.182076,83
-31.4010902,TA.ida,-64.182282,84
-31.40131,TA.ida,-64.1827712,85
-31.4015371,TA.ida,-64.1831145,86
-31.4018155,TA.ida,-64.1832776,87
-31.4020719,TA.ida,-64.1833034,88
-31.402223,TA.ida,-64.1832484,89
-31.4023909,TA.ida,-64.1831476,90
-31.402529,TA.ida,-64.1830461,91
-31.4025971,TA.ida,-64.1829832,92
-31.4026646,TA.ida,-64.1829174,93
-31.4027678,TA.ida,-64.1828141,94
-31.4028762,TA.ida,-64.1827617,95
-31.4029621,TA.ida,-64.1827188,96
-31.4031048,TA.ida,-64.1826511,97
-31.4035297,TA.ida,-64.1825566,98
-31.4037436,TA.ida,-64.1825502,99
-31.4039693,TA.ida,-64.1825738,100
-31.4041754,TA.ida,-64.182576,101
-31.4042464,TA.ida,-64.1825767,102
-31.4043433,TA.ida,-64.1825994,103
-31.40455,TA.ida,-64.182648,104
-31.4052763,TA.ida,-64.1828197,105
-31.4054937,TA.ida,-64.1828653,106
-31.4057645,TA.ida,-64.1829445,107
-31.4067298,TA.ida,-64.1831603,108
-31.4069252,TA.ida,-64.1832409,109
-31.4070782,TA.ida,-64.1833039,110
-31.4071508,TA.ida,-64.1833339,111
-31.4075422,TA.ida,-64.1834952,112
-31.407601,TA.ida,-64.1835195,113
-31.4076923,TA.ida,-64.1835571,114
-31.4078753,TA.ida,-64.1836326,115
-31.4081021,TA.ida,-64.1837261,116
-31.4082207,TA.ida,-64.183775,117
-31.4093608,TA.ida,-64.1842564,118
-31.4099663,TA.ida,-64.1845122,119
-31.4102619,TA.ida,-64.184637,120
-31.4106567,TA.ida,-64.1848038,121
-31.4109175,TA.ida,-64.1849139,122
-31.4113564,TA.ida,-64.1850992,123
-31.4118157,TA.ida,-64.1852932,124
-31.4119318,TA.ida,-64.1853415,125
-31.4120218,TA.ida,-64.1853789,126
-31.4122174,TA.ida,-64.1854602,127
-31.4122747,TA.ida,-64.1854841,128
-31.4123298,TA.ida,-64.185507,129
-31.4126882,TA.ida,-64.185656,130
-31.4128832,TA.ida,-64.1857371,131
-31.4131237,TA.ida,-64.1858356,132
-31.4133451,TA.ida,-64.1859263,133
-31.4140969,TA.ida,-64.1862342,134
-31.4142861,TA.ida,-64.1863116,135
-31.4145053,TA.ida,-64.1864014,136
-31.4146059,TA.ida,-64.1864426,137
-31.414873,TA.ida,-64.186552,138
-31.4151993,TA.ida,-64.1866856,139
-31.4154397,TA.ida,-64.1867857,140
-31.4156428,TA.ida,-64.1868727,141
-31.416278,TA.ida,-64.1871411,142
-31.4164778,TA.ida,-64.1872254,143
-31.4166431,TA.ida,-64.1872951,144
-31.4166667,TA.ida,-64.1873051,145
-31.4168135,TA.ida,-64.187367,146
-31.4170386,TA.ida,-64.187462,147
-31.4171023,TA.ida,-64.1874888,148
-31.4172506,TA.ida,-64.1875514,149
-31.4173184,TA.ida,-64.18758,150
-31.4174592,TA.ida,-64.1876394,151
