trip_id,stop_sequence,stop_id
TA.ida,1,6123
TA.ida,2,6122
TA.ida,3,6124
TA.ida,4,6125
TA.ida,5,6126
TA.ida,6,6127
TA.ida,7,6087
TA.ida,8,6128
TA.ida,9,6129
TA.ida,10,6130
TA.ida,11,6131
TA.ida,12,6132
TA.ida,13,6133
TA.ida,14,6134
TA.ida,15,6135
TA.ida,16,6136
TA.ida,17,6002
TA.ida,18,6137
TA.ida,19,6138
TA.ida,20,6139
TA.ida,21,6140
TA.ida,22,6107
TA.ida,23,6000
TA.ida,24,6013
TA.ida,25,6003
TA.ida,26,6004
TA.reg,1,6066
TA.reg,2,6067
TA.reg,3,6026
TA.reg,4,6068
TA.reg,5,6027
TA.reg,6,6069
TA.reg,7,6070
TA.reg,8,6071
TA.reg,9,6072
TA.reg,10,6007
TA.reg,11,6073
TA.reg,12,6074
TA.reg,13,6008
TA.reg,14,6075
TA.reg,15,6076
TA.reg,16,6077
TA.reg,17,6078
TA.reg,18,6080
TA.reg,19,6081
TA.reg,20,6082
TA.reg,21,6083
TA.reg,22,6084
TA.reg,23,6079
TA.reg,24,6085
TA.reg,25,6086
TB.ida,1,6046
TB.ida,2,6047
TB.ida,3,6163
TB.ida,4,6048
TB.ida,5,6049
TB.ida,6,6050
TB.ida,7,6164
TB.ida,8,6165
TB.ida,9,6166
TB.ida,10,6051
TB.ida,11,6052
TB.ida,12,6053
TB.ida,13,6054
TB.ida,14,6055
TB.ida,15,6010
TB.ida,16,6056
TB.ida,17,6012
TB.ida,18,6057
TB.ida,19,6058
TB.ida,20,6059
TB.ida,21,6060
TB.ida,22,6061
TB.ida,23,6062
TB.ida,24,6063
TB.ida,25,6064
TB.ida,26,6065
TB.reg,1,6141
TB.reg,2,6142
TB.reg,3,6143
TB.reg,4,6144
TB.reg,5,6005
TB.reg,6,6006
TB.reg,7,6145
TB.reg,8,6146
TB.reg,9,6001
TB.reg,10,6102
TB.reg,11,6147
TB.reg,12,6148
TB.reg,13,6149
TB.reg,14,6150
TB.reg,15,6151
TB.reg,16,6152
TB.reg,17,6153
TB.reg,18,6154
TB.reg,19,6155
TB.reg,20,6156
TB.reg,21,6157
TB.reg,22,6158
TB.reg,23,6159
TB.reg,24,6160
TB.reg,25,6161
TB.reg,26,6162
TC.ida,1,6014
TC.ida,2,6015
TC.ida,3,6016
TC.ida,4,6017
TC.ida,5,6018
TC.ida,6,6019
TC.ida,7,6020
TC.ida,8,6021
TC.ida,9,6022
TC.ida,10,6023
TC.ida,11,6024
TC.ida,12,6025
TC.ida,13,6026
TC.ida,14,6027
TC.ida,15,6028
TC.ida,16,6029
TC.ida,17,6030
TC.ida,18,6031
TC.ida,19,6009
TC.ida,20,6032
TC.ida,21,6011
TC.ida,22,6033
TC.ida,23,6034
TC.ida,24,6035
TC.ida,25,6036
TC.ida,26,6037
TC.ida,27,6038
TC.ida,28,6039
TC.ida,29,6040
TC.ida,30,6041
TC.ida,31,6042
TC.ida,32,6043
TC.ida,33,6044
TC.ida,34,6045
TC.reg,1,6088
TC.reg,2,6089
TC.reg,3,6090
TC.reg,4,6091
TC.reg,5,6092
TC.reg,6,6093
TC.reg,7,6094
TC.reg,8,6095
TC.reg,9,6096
TC.reg,10,6097
TC.reg,11,6098
TC.reg,12,6099
TC.reg,13,6100
TC.reg,14,6101
TC.reg,15,6102
TC.reg,16,6103
TC.reg,17,6104
TC.reg,18,6105
TC.reg,19,6106
TC.reg,20,6140
TC.reg,21,6107
TC.reg,22,6000
TC.reg,23,6108
TC.reg,24,6109
TC.reg,25,6110
TC.reg,26,6111
TC.reg,27,6112
TC.reg,28,6113
TC.reg,29,6114
TC.reg,30,6115
TC.reg,31,6116
TC.reg,32,6117
TC.reg,33,6118
TC.reg,34,6119
TC.reg,35,6120
TC.reg,36,6121
